"","id","question","response","Type_of_question","type"
"1","ucjf5it7","liking_art_exhibition-quantised","first","warmth","motor"
"2","ucjf5it7","liking_family_issue-quantised","first","warmth","motor"
"3","ucjf5it7","liking_pub-quantised","first","warmth","motor"
"4","ucjf5it7","liking_essay-quantised","first","competence","motor"
"5","ucjf5it7","liking_walk-quantised","second","warmth","choice"
"6","ucjf5it7","liking_fixing_computer-quantised","first","competence","motor"
"7","ucjf5it7","liking_driving_car-quantised","first","competence","motor"
"8","ucjf5it7","liking_job_preparation-quantised","first","competence","motor"
"9","ucjf5it7","liking_art_exhibition-quantised","first","warmth","motor"
"10","ucjf5it7","liking_family_issue-quantised","first","warmth","motor"
"11","ucjf5it7","liking_pub-quantised","first","warmth","motor"
"12","ucjf5it7","liking_essay-quantised","first","competence","motor"
"13","ucjf5it7","liking_walk-quantised","second","warmth","choice"
"14","ucjf5it7","liking_fixing_computer-quantised","first","competence","motor"
"15","ucjf5it7","liking_driving_car-quantised","first","competence","motor"
"16","ucjf5it7","liking_job_preparation-quantised","first","competence","motor"
"17","u4ckj0xb","liking_art_exhibition-quantised","second","warmth","choice"
"18","u4ckj0xb","liking_family_issue-quantised","second","warmth","choice"
"19","u4ckj0xb","liking_pub-quantised","first","warmth","motor"
"20","u4ckj0xb","liking_essay-quantised","third","competence","control"
"21","u4ckj0xb","liking_walk-quantised","second","warmth","choice"
"22","u4ckj0xb","liking_fixing_computer-quantised","first","competence","motor"
"23","u4ckj0xb","liking_driving_car-quantised","third","competence","control"
"24","u4ckj0xb","liking_job_preparation-quantised","first","competence","motor"
"25","rcburgqm","liking_art_exhibition-quantised","first","warmth","motor"
"26","rcburgqm","liking_family_issue-quantised","third","warmth","control"
"27","rcburgqm","liking_pub-quantised","second","warmth","choice"
"28","rcburgqm","liking_essay-quantised","third","competence","control"
"29","rcburgqm","liking_walk-quantised","first","warmth","motor"
"30","rcburgqm","liking_fixing_computer-quantised","second","competence","choice"
"31","rcburgqm","liking_driving_car-quantised","first","competence","motor"
"32","rcburgqm","liking_job_preparation-quantised","third","competence","control"
"33","p1el4un1","liking_art_exhibition-quantised","first","warmth","motor"
"34","p1el4un1","liking_family_issue-quantised","first","warmth","motor"
"35","p1el4un1","liking_pub-quantised","first","warmth","motor"
"36","p1el4un1","liking_essay-quantised","first","competence","motor"
"37","p1el4un1","liking_walk-quantised","first","warmth","motor"
"38","p1el4un1","liking_fixing_computer-quantised","third","competence","control"
"39","p1el4un1","liking_driving_car-quantised","third","competence","control"
"40","p1el4un1","liking_job_preparation-quantised","first","competence","motor"
"41","7ca8udou","liking_art_exhibition-quantised","first","warmth","motor"
"42","7ca8udou","liking_family_issue-quantised","first","warmth","motor"
"43","7ca8udou","liking_pub-quantised","second","warmth","choice"
"44","7ca8udou","liking_essay-quantised","third","competence","control"
"45","7ca8udou","liking_walk-quantised","first","warmth","motor"
"46","7ca8udou","liking_fixing_computer-quantised","third","competence","control"
"47","7ca8udou","liking_driving_car-quantised","first","competence","motor"
"48","7ca8udou","liking_job_preparation-quantised","third","competence","control"
"49","fbdvz2jm","liking_art_exhibition-quantised","first","warmth","motor"
"50","fbdvz2jm","liking_family_issue-quantised","first","warmth","motor"
"51","fbdvz2jm","liking_pub-quantised","second","warmth","choice"
"52","fbdvz2jm","liking_essay-quantised","third","competence","control"
"53","fbdvz2jm","liking_walk-quantised","first","warmth","motor"
"54","fbdvz2jm","liking_fixing_computer-quantised","third","competence","control"
