"","Event_Index","UTC_Timestamp","UTC_Date","Local_Timestamp","Local_Timezone","Local_Date","Experiment_ID","Experiment_Version","Tree_Node_Key","Repeat_Key","Schedule_ID","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","Checkpoint","Task_Name","Task_Version","Randomise_questionnaire_elements?","Question_Key","Response"
"1","1","1654619876640","07/06/2022 16:37:56","1654619876487","1","07/06/2022 17:37:56","86605","12","questionnaire-542i",NA,"22343163","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","BEGIN QUESTIONNAIRE",NA
"2","2","1654619890521","07/06/2022 16:38:10","1654619890429","1","07/06/2022 17:38:10","86605","12","questionnaire-542i",NA,"22343163","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_interest","5"
"3","3","1654619890565","07/06/2022 16:38:10","1654619890431","1","07/06/2022 17:38:10","86605","12","questionnaire-542i",NA,"22343163","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_interest-quantised","5"
"4","4","1654619890565","07/06/2022 16:38:10","1654619890431","1","07/06/2022 17:38:10","86605","12","questionnaire-542i",NA,"22343163","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_visits","1"
"5","5","1654619890565","07/06/2022 16:38:10","1654619890431","1","07/06/2022 17:38:10","86605","12","questionnaire-542i",NA,"22343163","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_knowledge","4"
"6","6","1654619890565","07/06/2022 16:38:10","1654619890431","1","07/06/2022 17:38:10","86605","12","questionnaire-542i",NA,"22343163","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_knowledge-quantised","4"
"7","7","1654619890565","07/06/2022 16:38:10","1654619890431","1","07/06/2022 17:38:10","86605","12","questionnaire-542i",NA,"22343163","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","END QUESTIONNAIRE","13944"
"8","END OF FILE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","1654598548192","07/06/2022 10:42:28","1654598548095","1","07/06/2022 11:42:28","86605","12","questionnaire-542i",NA,"22329772","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","BEGIN QUESTIONNAIRE",NA
"10","2","1654598562293","07/06/2022 10:42:42","1654598562230","1","07/06/2022 11:42:42","86605","12","questionnaire-542i",NA,"22329772","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_interest","4"
"11","3","1654598562329","07/06/2022 10:42:42","1654598562232","1","07/06/2022 11:42:42","86605","12","questionnaire-542i",NA,"22329772","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_interest-quantised","4"
"12","4","1654598562329","07/06/2022 10:42:42","1654598562232","1","07/06/2022 11:42:42","86605","12","questionnaire-542i",NA,"22329772","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_visits","6"
"13","5","1654598562329","07/06/2022 10:42:42","1654598562232","1","07/06/2022 11:42:42","86605","12","questionnaire-542i",NA,"22329772","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_knowledge","3"
"14","6","1654598562329","07/06/2022 10:42:42","1654598562232","1","07/06/2022 11:42:42","86605","12","questionnaire-542i",NA,"22329772","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","art_knowledge-quantised","3"
"15","7","1654598562329","07/06/2022 10:42:42","1654598562232","1","07/06/2022 11:42:42","86605","12","questionnaire-542i",NA,"22329772","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","END QUESTIONNAIRE","14137"
"16","1","1654603582988","07/06/2022 12:06:22","1654603582892","1","07/06/2022 13:06:22","86605","12","questionnaire-542i",NA,"22333542","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Art interests","9","No","BEGIN QUESTIONNAIRE",NA
