"","Participant_Public_ID","Task_Name","Question_Key","Response"
"1","ucjf5it7","self construal-dependence/independence","SCDP_1",5
"2","ucjf5it7","self construal-dependence/independence","SCDP_2",5
"3","ucjf5it7","self construal-dependence/independence","SCDP_3",7
"4","ucjf5it7","self construal-dependence/independence","SCDP_4",6
"5","ucjf5it7","self construal-dependence/independence","SCDP_5",4
"6","ucjf5it7","self construal-dependence/independence","SCDP_6",6
"7","ucjf5it7","self construal-dependence/independence","SCDP_7",4
"8","ucjf5it7","self construal-dependence/independence","SCDP_8",4
"9","ucjf5it7","self construal-dependence/independence","SCDP_9",3
"10","ucjf5it7","self construal-dependence/independence","SCDP_10",6
"11","ucjf5it7","self construal-dependence/independence","SCDP_11",7
"12","ucjf5it7","self construal-dependence/independence","SCDP_12",5
"13","ucjf5it7","self construal-dependence/independence","SCDP_13",3
"14","ucjf5it7","self construal-dependence/independence","SCDP_14",7
"15","ucjf5it7","self construal-dependence/independence","SCDP_15",5
"16","ucjf5it7","self construal-dependence/independence","SCDP_16",6
"17","ucjf5it7","self construal-dependence/independence","SCDP_17",7
"18","ucjf5it7","self construal-dependence/independence","SCDP_18",4
"19","ucjf5it7","self construal-dependence/independence","SCDP_19",6
"20","ucjf5it7","self construal-dependence/independence","SCDP_20",5
"21","ucjf5it7","self construal-dependence/independence","SCDP_21",6
"22","ucjf5it7","self construal-dependence/independence","SCDP_22",6
"23","ucjf5it7","self construal-dependence/independence","SCDP_23",3
"24","ucjf5it7","self construal-dependence/independence","SCDP_24",4
"25","ucjf5it7","self construal-dependence/independence","SCDP_25",6
"26","ucjf5it7","self construal-dependence/independence","SCDP_26",4
"27","ucjf5it7","self construal-dependence/independence","SCDP_27",4
"28","ucjf5it7","self construal-dependence/independence","SCDP_28",5
"29","ucjf5it7","self construal-dependence/independence","SCDP_29",4
"30","ucjf5it7","self construal-dependence/independence","SCDP_30",5
"31","x15hufum","self construal-dependence/independence","SCDP_1",7
"32","x15hufum","self construal-dependence/independence","SCDP_2",5
"33","x15hufum","self construal-dependence/independence","SCDP_3",6
"34","x15hufum","self construal-dependence/independence","SCDP_4",6
"35","x15hufum","self construal-dependence/independence","SCDP_5",7
"36","x15hufum","self construal-dependence/independence","SCDP_6",7
"37","x15hufum","self construal-dependence/independence","SCDP_7",7
"38","x15hufum","self construal-dependence/independence","SCDP_8",2
"39","x15hufum","self construal-dependence/independence","SCDP_9",7
"40","x15hufum","self construal-dependence/independence","SCDP_10",7
"41","x15hufum","self construal-dependence/independence","SCDP_11",5
"42","x15hufum","self construal-dependence/independence","SCDP_12",2
"43","x15hufum","self construal-dependence/independence","SCDP_13",6
"44","x15hufum","self construal-dependence/independence","SCDP_14",6
"45","x15hufum","self construal-dependence/independence","SCDP_15",7
"46","x15hufum","self construal-dependence/independence","SCDP_16",3
"47","x15hufum","self construal-dependence/independence","SCDP_17",4
"48","x15hufum","self construal-dependence/independence","SCDP_18",7
"49","x15hufum","self construal-dependence/independence","SCDP_19",7
"50","x15hufum","self construal-dependence/independence","SCDP_20",6
"51","x15hufum","self construal-dependence/independence","SCDP_21",2
"52","x15hufum","self construal-dependence/independence","SCDP_22",3
"53","x15hufum","self construal-dependence/independence","SCDP_23",5
"54","x15hufum","self construal-dependence/independence","SCDP_24",7
"55","x15hufum","self construal-dependence/independence","SCDP_25",7
"56","x15hufum","self construal-dependence/independence","SCDP_26",2
"57","x15hufum","self construal-dependence/independence","SCDP_27",7
"58","x15hufum","self construal-dependence/independence","SCDP_28",2
"59","x15hufum","self construal-dependence/independence","SCDP_29",7
"60","x15hufum","self construal-dependence/independence","SCDP_30",3
"61","wopxcyrw","self construal-dependence/independence","SCDP_1",3
"62","wopxcyrw","self construal-dependence/independence","SCDP_2",3
"63","wopxcyrw","self construal-dependence/independence","SCDP_3",5
"64","wopxcyrw","self construal-dependence/independence","SCDP_4",4
"65","wopxcyrw","self construal-dependence/independence","SCDP_5",5
"66","wopxcyrw","self construal-dependence/independence","SCDP_6",4
"67","wopxcyrw","self construal-dependence/independence","SCDP_7",5
"68","wopxcyrw","self construal-dependence/independence","SCDP_8",3
"69","wopxcyrw","self construal-dependence/independence","SCDP_9",4
"70","wopxcyrw","self construal-dependence/independence","SCDP_10",2
"71","wopxcyrw","self construal-dependence/independence","SCDP_11",2
"72","wopxcyrw","self construal-dependence/independence","SCDP_12",4
"73","wopxcyrw","self construal-dependence/independence","SCDP_13",4
"74","wopxcyrw","self construal-dependence/independence","SCDP_14",3
"75","wopxcyrw","self construal-dependence/independence","SCDP_15",4
"76","wopxcyrw","self construal-dependence/independence","SCDP_16",4
"77","wopxcyrw","self construal-dependence/independence","SCDP_17",4
"78","wopxcyrw","self construal-dependence/independence","SCDP_18",4
"79","wopxcyrw","self construal-dependence/independence","SCDP_19",4
"80","wopxcyrw","self construal-dependence/independence","SCDP_20",3
"81","wopxcyrw","self construal-dependence/independence","SCDP_21",4
"82","wopxcyrw","self construal-dependence/independence","SCDP_22",5
"83","wopxcyrw","self construal-dependence/independence","SCDP_23",4
"84","wopxcyrw","self construal-dependence/independence","SCDP_24",5
"85","wopxcyrw","self construal-dependence/independence","SCDP_25",6
"86","wopxcyrw","self construal-dependence/independence","SCDP_26",4
"87","wopxcyrw","self construal-dependence/independence","SCDP_27",5
"88","wopxcyrw","self construal-dependence/independence","SCDP_28",4
"89","wopxcyrw","self construal-dependence/independence","SCDP_29",5
"90","wopxcyrw","self construal-dependence/independence","SCDP_30",4
"91","wyly5896","self construal-dependence/independence","SCDP_1",6
"92","wyly5896","self construal-dependence/independence","SCDP_2",6
"93","wyly5896","self construal-dependence/independence","SCDP_3",6
"94","wyly5896","self construal-dependence/independence","SCDP_4",5
"95","wyly5896","self construal-dependence/independence","SCDP_5",5
"96","wyly5896","self construal-dependence/independence","SCDP_6",7
"97","wyly5896","self construal-dependence/independence","SCDP_7",6
"98","wyly5896","self construal-dependence/independence","SCDP_8",4
"99","wyly5896","self construal-dependence/independence","SCDP_9",3
"100","wyly5896","self construal-dependence/independence","SCDP_10",6
"101","wyly5896","self construal-dependence/independence","SCDP_11",4
"102","wyly5896","self construal-dependence/independence","SCDP_12",5
"103","wyly5896","self construal-dependence/independence","SCDP_13",2
"104","wyly5896","self construal-dependence/independence","SCDP_14",6
"105","wyly5896","self construal-dependence/independence","SCDP_15",4
"106","wyly5896","self construal-dependence/independence","SCDP_16",4
"107","wyly5896","self construal-dependence/independence","SCDP_17",3
"108","wyly5896","self construal-dependence/independence","SCDP_18",5
"109","wyly5896","self construal-dependence/independence","SCDP_19",5
"110","wyly5896","self construal-dependence/independence","SCDP_20",3
"111","wyly5896","self construal-dependence/independence","SCDP_21",4
"112","wyly5896","self construal-dependence/independence","SCDP_22",4
"113","wyly5896","self construal-dependence/independence","SCDP_23",5
"114","wyly5896","self construal-dependence/independence","SCDP_24",4
