"","Participant_Public_ID","Task_Name","Response","Question_Key","response"
"1","ucjf5it7","Affiliation questions - 2","0","Affilitation_Avoidance2",0
"2","ucjf5it7","Affiliation questions - 2","65","Affilitation_Acceptance2",65
"3","ucjf5it7","Affiliation questions - 2","71","Affilitation_Generosity2",71
"4","ucjf5it7","Affiliation questions - 2","0","Affilitation_Hostility2",0
"5","ucjf5it7","Affiliation questions - 2","57","Affilitation_Gratitude2",57
"6","ucjf5it7","Affiliation questions - 2","0","Affilitation_Distrust2",0
"7","ucjf5it7","Affiliation questions - 2","65","Affilitation_Sympathy2",65
"8","x15hufum","Affiliation questions - 2","50","Affilitation_Acceptance2",50
"9","x15hufum","Affiliation questions - 2","14","Affilitation_Hostility2",14
"10","x15hufum","Affiliation questions - 2","6","Affilitation_Distrust2",6
"11","x15hufum","Affiliation questions - 2","38","Affilitation_Avoidance2",38
"12","x15hufum","Affiliation questions - 2","51","Affilitation_Sympathy2",51
"13","x15hufum","Affiliation questions - 2","50","Affilitation_Generosity2",50
"14","x15hufum","Affiliation questions - 2","50","Affilitation_Gratitude2",50
"15","wopxcyrw","Affiliation questions - 2","66","Affilitation_Sympathy2",66
"16","wopxcyrw","Affiliation questions - 2","62","Affilitation_Acceptance2",62
"17","wopxcyrw","Affiliation questions - 2","40","Affilitation_Distrust2",40
"18","wopxcyrw","Affiliation questions - 2","44","Affilitation_Avoidance2",44
"19","wopxcyrw","Affiliation questions - 2","63","Affilitation_Generosity2",63
"20","wopxcyrw","Affiliation questions - 2","63","Affilitation_Gratitude2",63
"21","wopxcyrw","Affiliation questions - 2","41","Affilitation_Hostility2",41
"22","wyly5896","Affiliation questions - 2","60","Affilitation_Sympathy2",60
"23","wyly5896","Affiliation questions - 2","60","Affilitation_Gratitude2",60
"24","wyly5896","Affiliation questions - 2","55","Affilitation_Generosity2",55
"25","wyly5896","Affiliation questions - 2","40","Affilitation_Distrust2",40
"26","wyly5896","Affiliation questions - 2","40","Affilitation_Hostility2",40
"27","wyly5896","Affiliation questions - 2","55","Affilitation_Acceptance2",55
"28","wyly5896","Affiliation questions - 2","40","Affilitation_Avoidance2",40
"29","ucjf5it7","Affiliation questions - 2","0","Affilitation_Avoidance2",0
"30","ucjf5it7","Affiliation questions - 2","65","Affilitation_Acceptance2",65
"31","ucjf5it7","Affiliation questions - 2","71","Affilitation_Generosity2",71
"32","ucjf5it7","Affiliation questions - 2","0","Affilitation_Hostility2",0
"33","ucjf5it7","Affiliation questions - 2","57","Affilitation_Gratitude2",57
"34","ucjf5it7","Affiliation questions - 2","0","Affilitation_Distrust2",0
"35","ucjf5it7","Affiliation questions - 2","65","Affilitation_Sympathy2",65
"36","u4ckj0xb","Affiliation questions - 2","2","Affilitation_Avoidance2",2
"37","u4ckj0xb","Affiliation questions - 2","12","Affilitation_Distrust2",12
"38","u4ckj0xb","Affiliation questions - 2","35","Affilitation_Hostility2",35
"39","u4ckj0xb","Affiliation questions - 2","87","Affilitation_Sympathy2",87
"40","u4ckj0xb","Affiliation questions - 2","95","Affilitation_Acceptance2",95
"41","u4ckj0xb","Affiliation questions - 2","81","Affilitation_Gratitude2",81
"42","u4ckj0xb","Affiliation questions - 2","89","Affilitation_Generosity2",89
"43","rcburgqm","Affiliation questions - 2","17","Affilitation_Avoidance2",17
"44","rcburgqm","Affiliation questions - 2","53","Affilitation_Gratitude2",53
"45","rcburgqm","Affiliation questions - 2","52","Affilitation_Generosity2",52
"46","rcburgqm","Affiliation questions - 2","12","Affilitation_Distrust2",12
"47","rcburgqm","Affiliation questions - 2","53","Affilitation_Acceptance2",53
"48","rcburgqm","Affiliation questions - 2","52","Affilitation_Sympathy2",52
"49","rcburgqm","Affiliation questions - 2","13","Affilitation_Hostility2",13
"50","p1el4un1","Affiliation questions - 2","100","Affilitation_Distrust2",100
"51","p1el4un1","Affiliation questions - 2","30","Affilitation_Avoidance2",30
"52","p1el4un1","Affiliation questions - 2","15","Affilitation_Gratitude2",15
"53","p1el4un1","Affiliation questions - 2","100","Affilitation_Hostility2",100
"54","p1el4un1","Affiliation questions - 2","0","Affilitation_Generosity2",0
"55","p1el4un1","Affiliation questions - 2","16","Affilitation_Acceptance2",16
"56","p1el4un1","Affiliation questions - 2","0","Affilitation_Sympathy2",0
"57","7ca8udou","Affiliation questions - 2","40","Affilitation_Sympathy2",40
"58","7ca8udou","Affiliation questions - 2","41","Affilitation_Generosity2",41
"59","7ca8udou","Affiliation questions - 2","50","Affilitation_Avoidance2",50
"60","7ca8udou","Affiliation questions - 2","53","Affilitation_Hostility2",53
"61","7ca8udou","Affiliation questions - 2","53","Affilitation_Distrust2",53
"62","7ca8udou","Affiliation questions - 2","50","Affilitation_Acceptance2",50
"63","7ca8udou","Affiliation questions - 2","45","Affilitation_Gratitude2",45
"64","fbdvz2jm","Affiliation questions - 2","8","Affilitation_Hostility2",8
"65","fbdvz2jm","Affiliation questions - 2","9","Affilitation_Distrust2",9
"66","fbdvz2jm","Affiliation questions - 2","50","Affilitation_Sympathy2",50
"67","fbdvz2jm","Affiliation questions - 2","73","Affilitation_Generosity2",73
"68","fbdvz2jm","Affiliation questions - 2","82","Affilitation_Acceptance2",82
"69","fbdvz2jm","Affiliation questions - 2","64","Affilitation_Gratitude2",64
"70","fbdvz2jm","Affiliation questions - 2","0","Affilitation_Avoidance2",0
"71","lcoa0ulz","Affiliation questions - 2","73","Affilitation_Acceptance2",73
"72","lcoa0ulz","Affiliation questions - 2","61","Affilitation_Avoidance2",61
"73","lcoa0ulz","Affiliation questions - 2","38","Affilitation_Distrust2",38
"74","lcoa0ulz","Affiliation questions - 2","60","Affilitation_Sympathy2",60
"75","lcoa0ulz","Affiliation questions - 2","50","Affilitation_Gratitude2",50
"76","lcoa0ulz","Affiliation questions - 2","32","Affilitation_Generosity2",32
"77","lcoa0ulz","Affiliation questions - 2","39","Affilitation_Hostility2",39
"78","c10bu2ue","Affiliation questions - 2","21","Affilitation_Distrust2",21
"79","c10bu2ue","Affiliation questions - 2","56","Affilitation_Gratitude2",56
"80","c10bu2ue","Affiliation questions - 2","69","Affilitation_Sympathy2",69
"81","c10bu2ue","Affiliation questions - 2","35","Affilitation_Avoidance2",35
"82","c10bu2ue","Affiliation questions - 2","67","Affilitation_Generosity2",67
"83","c10bu2ue","Affiliation questions - 2","21","Affilitation_Hostility2",21
"84","c10bu2ue","Affiliation questions - 2","64","Affilitation_Acceptance2",64
"85","ucjf5it7","Affiliation questions - 3","0","Affilitation_Distrust3",0
"86","ucjf5it7","Affiliation questions - 3","0","Affilitation_Avoidance3",0
"87","ucjf5it7","Affiliation questions - 3","59","Affilitation_Sympathy3",59
"88","ucjf5it7","Affiliation questions - 3","55","Affilitation_Acceptance3",55
"89","ucjf5it7","Affiliation questions - 3","0","Affilitation_Hostility3",0
"90","ucjf5it7","Affiliation questions - 3","56","Affilitation_Generosity3",56
"91","ucjf5it7","Affiliation questions - 3","54","Affilitation_Gratitude3",54
"92","x15hufum","Affiliation questions - 3","40","Affilitation_Avoidance3",40
"93","x15hufum","Affiliation questions - 3","50","Affilitation_Sympathy3",50
"94","x15hufum","Affiliation questions - 3","50","Affilitation_Acceptance3",50
"95","x15hufum","Affiliation questions - 3","50","Affilitation_Gratitude3",50
"96","x15hufum","Affiliation questions - 3","8","Affilitation_Hostility3",8
"97","x15hufum","Affiliation questions - 3","15","Affilitation_Distrust3",15
"98","x15hufum","Affiliation questions - 3","51","Affilitation_Generosity3",51
"99","wopxcyrw","Affiliation questions - 3","41","Affilitation_Generosity3",41
"100","wopxcyrw","Affiliation questions - 3","61","Affilitation_Avoidance3",61
"101","wopxcyrw","Affiliation questions - 3","58","Affilitation_Distrust3",58
"102","wopxcyrw","Affiliation questions - 3","60","Affilitation_Hostility3",60
"103","wopxcyrw","Affiliation questions - 3","48","Affilitation_Gratitude3",48
"104","wopxcyrw","Affiliation questions - 3","44","Affilitation_Acceptance3",44
"105","wopxcyrw","Affiliation questions - 3","39","Affilitation_Sympathy3",39
"106","wyly5896","Affiliation questions - 3","60","Affilitation_Acceptance3",60
"107","wyly5896","Affiliation questions - 3","40","Affilitation_Avoidance3",40
"108","wyly5896","Affiliation questions - 3","55","Affilitation_Gratitude3",55
"109","wyly5896","Affiliation questions - 3","60","Affilitation_Sympathy3",60
"110","wyly5896","Affiliation questions - 3","40","Affilitation_Hostility3",40
"111","wyly5896","Affiliation questions - 3","60","Affilitation_Generosity3",60
"112","wyly5896","Affiliation questions - 3","40","Affilitation_Distrust3",40
"113","ucjf5it7","Affiliation questions - 3","0","Affilitation_Distrust3",0
"114","ucjf5it7","Affiliation questions - 3","0","Affilitation_Avoidance3",0
