"","Participant_Public_ID","Task_Name","Question_Key","Response"
"1","ucjf5it7","Art interests","art_interest",5
"2","ucjf5it7","Art interests","art_visits",1
"3","ucjf5it7","Art interests","art_knowledge",4
"4","x15hufum","Art interests","art_interest",4
"5","x15hufum","Art interests","art_visits",6
"6","x15hufum","Art interests","art_knowledge",3
"7","wopxcyrw","Art interests","art_interest",3
"8","wopxcyrw","Art interests","art_visits",1
"9","wopxcyrw","Art interests","art_knowledge",2
"10","wyly5896","Art interests","art_interest",5
"11","wyly5896","Art interests","art_knowledge",4
"12","u4ckj0xb","Art interests","art_interest",4
"13","u4ckj0xb","Art interests","art_visits",1
"14","u4ckj0xb","Art interests","art_knowledge",2
"15","rcburgqm","Art interests","art_interest",4
"16","rcburgqm","Art interests","art_visits",1
"17","rcburgqm","Art interests","art_knowledge",3
"18","p1el4un1","Art interests","art_interest",4
"19","p1el4un1","Art interests","art_knowledge",3
"20","7ca8udou","Art interests","art_interest",5
"21","7ca8udou","Art interests","art_visits",30
"22","7ca8udou","Art interests","art_knowledge",4
"23","fbdvz2jm","Art interests","art_interest",4
"24","fbdvz2jm","Art interests","art_visits",2
"25","fbdvz2jm","Art interests","art_knowledge",3
"26","lcoa0ulz","Art interests","art_interest",5
"27","lcoa0ulz","Art interests","art_knowledge",4
"28","c10bu2ue","Art interests","art_interest",4
"29","c10bu2ue","Art interests","art_visits",5
"30","c10bu2ue","Art interests","art_knowledge",2
"31","5zqcqbja","Art interests","art_interest",4
"32","5zqcqbja","Art interests","art_visits",0
"33","5zqcqbja","Art interests","art_knowledge",3
"34","rjld64yp","Art interests","art_interest",4
"35","rjld64yp","Art interests","art_visits",4
"36","rjld64yp","Art interests","art_knowledge",4
"37","3qnbpkqy","Art interests","art_interest",3
"38","3qnbpkqy","Art interests","art_visits",2
"39","3qnbpkqy","Art interests","art_knowledge",3
"40","fnw3740u","Art interests","art_interest",4
"41","fnw3740u","Art interests","art_visits",1
"42","fnw3740u","Art interests","art_knowledge",2
"43","awnaa38f","Art interests","art_interest",5
"44","awnaa38f","Art interests","art_visits",20
"45","awnaa38f","Art interests","art_knowledge",4
"46","9fuapkwo","Art interests","art_interest",5
"47","9fuapkwo","Art interests","art_visits",17
"48","9fuapkwo","Art interests","art_knowledge",4
"49","x9hun3az","Art interests","art_interest",5
"50","x9hun3az","Art interests","art_visits",7
"51","x9hun3az","Art interests","art_knowledge",3
"52","fhonwjzj","Art interests","art_interest",6
"53","fhonwjzj","Art interests","art_visits",12
"54","fhonwjzj","Art interests","art_knowledge",5
