"","Participant_Public_ID","question","block","response","del"
"2","ucjf5it7","Closeness-","2",3,".png"
"6","x15hufum","Closeness-","2",5,".png"
"9","wopxcyrw","Closeness-","2",3,".png"
"12","wyly5896","Closeness-","2",2,".png"
"15","ucjf5it7","Closeness-","2",3,".png"
"18","u4ckj0xb","Closeness-","2",5,".png"
"21","rcburgqm","Closeness-","2",3,".png"
"24","p1el4un1","Closeness-","2",1,".png"
"27","7ca8udou","Closeness-","2",5,".png"
"30","fbdvz2jm","Closeness-","2",2,".png"
"33","lcoa0ulz","Closeness-","2",2,".png"
"36","c10bu2ue","Closeness-","2",6,".png"
"40","ucjf5it7","Closeness-","1",2,".png"
"44","x15hufum","Closeness-","1",2,".png"
"47","wopxcyrw","Closeness-","1",2,".png"
"50","wyly5896","Closeness-","1",2,".png"
"53","ucjf5it7","Closeness-","1",2,".png"
"56","u4ckj0xb","Closeness-","1",2,".png"
"59","rcburgqm","Closeness-","1",3,".png"
"62","p1el4un1","Closeness-","1",1,".png"
"65","7ca8udou","Closeness-","1",3,".png"
"68","fbdvz2jm","Closeness-","1",3,".png"
"71","lcoa0ulz","Closeness-","1",1,".png"
"74","c10bu2ue","Closeness-","1",4,".png"
"78","ucjf5it7","Closeness-","3",1,".png"
"82","x15hufum","Closeness-","3",3,".png"
"85","wopxcyrw","Closeness-","3",2,".png"
"88","wyly5896","Closeness-","3",2,".png"
"91","ucjf5it7","Closeness-","3",1,".png"
"94","u4ckj0xb","Closeness-","3",4,".png"
"97","rcburgqm","Closeness-","3",3,".png"
"100","p1el4un1","Closeness-","3",1,".png"
"103","7ca8udou","Closeness-","3",4,".png"
"106","fbdvz2jm","Closeness-","3",1,".png"
"109","lcoa0ulz","Closeness-","3",1,".png"
"112","c10bu2ue","Closeness-","3",5,".png"
"116","5zqcqbja","Closeness-","2",1,".png"
"119","rjld64yp","Closeness-","2",2,".png"
"122","3qnbpkqy","Closeness-","2",3,".png"
"125","fnw3740u","Closeness-","2",1,".png"
"128","awnaa38f","Closeness-","2",2,".png"
"131","9fuapkwo","Closeness-","2",2,".png"
"134","x9hun3az","Closeness-","2",2,".png"
"137","fhonwjzj","Closeness-","2",3,".png"
"141","5zqcqbja","Closeness-","1",1,".png"
"144","rjld64yp","Closeness-","1",4,".png"
"147","3qnbpkqy","Closeness-","1",5,".png"
"150","fnw3740u","Closeness-","1",2,".png"
"153","awnaa38f","Closeness-","1",5,".png"
"156","9fuapkwo","Closeness-","1",2,".png"
"159","x9hun3az","Closeness-","1",3,".png"
"162","fhonwjzj","Closeness-","1",2,".png"
"166","5zqcqbja","Closeness-","3",1,".png"
"169","rjld64yp","Closeness-","3",3,".png"
"172","3qnbpkqy","Closeness-","3",4,".png"
"175","fnw3740u","Closeness-","3",2,".png"
"178","awnaa38f","Closeness-","3",3,".png"
"181","9fuapkwo","Closeness-","3",2,".png"
"184","x9hun3az","Closeness-","3",3,".png"
"187","fhonwjzj","Closeness-","3",1,".png"
"191","nqcfkk0t","Closeness-","2",2,".png"
"194","7end2q7p","Closeness-","2",5,".png"
"197","ekh4e8la","Closeness-","2",1,".png"
"200","pgijg573","Closeness-","2",3,".png"
"203","mqu3535e","Closeness-","2",4,".png"
"206","trpxfsfj","Closeness-","2",1,".png"
"209","64qj2z1q","Closeness-","2",6,".png"
"212","u90pn3po","Closeness-","2",3,".png"
"215","vtnpc9v0","Closeness-","2",2,".png"
"218","eo7g3bb9","Closeness-","2",2,".png"
"221","eyf8awh6","Closeness-","2",2,".png"
"224","8a4rmozk","Closeness-","2",2,".png"
"227","ske1wdwv","Closeness-","2",3,".png"
"230","wkig7g26","Closeness-","2",2,".png"
"233","x886pg16","Closeness-","2",2,".png"
"236","4swlxwke","Closeness-","2",2,".png"
"239","piedsqfp","Closeness-","2",5,".png"
"242","8fjzf3vt","Closeness-","2",7,".png"
"245","20ncbce2","Closeness-","2",4,".png"
"248","eg36xi0r","Closeness-","2",2,".png"
"251","mx4as100","Closeness-","2",6,".png"
"255","nqcfkk0t","Closeness-","1",2,".png"
"258","7end2q7p","Closeness-","1",4,".png"
"261","ekh4e8la","Closeness-","1",2,".png"
"264","pgijg573","Closeness-","1",4,".png"
"267","mqu3535e","Closeness-","1",2,".png"
"270","trpxfsfj","Closeness-","1",1,".png"
"273","64qj2z1q","Closeness-","1",2,".png"
"276","u90pn3po","Closeness-","1",1,".png"
"279","vtnpc9v0","Closeness-","1",1,".png"
"282","eo7g3bb9","Closeness-","1",3,".png"
"285","eyf8awh6","Closeness-","1",5,".png"
"288","8a4rmozk","Closeness-","1",3,".png"
"291","ske1wdwv","Closeness-","1",4,".png"
"294","wkig7g26","Closeness-","1",4,".png"
"297","x886pg16","Closeness-","1",2,".png"
"300","4swlxwke","Closeness-","1",5,".png"
"303","piedsqfp","Closeness-","1",4,".png"
"306","8fjzf3vt","Closeness-","1",3,".png"
"309","20ncbce2","Closeness-","1",2,".png"
"312","eg36xi0r","Closeness-","1",4,".png"
"315","mx4as100","Closeness-","1",3,".png"
"319","nqcfkk0t","Closeness-","3",2,".png"
"322","7end2q7p","Closeness-","3",2,".png"
"325","ekh4e8la","Closeness-","3",2,".png"
"328","pgijg573","Closeness-","3",3,".png"
"331","mqu3535e","Closeness-","3",1,".png"
"334","trpxfsfj","Closeness-","3",1,".png"
"337","64qj2z1q","Closeness-","3",4,".png"
"340","u90pn3po","Closeness-","3",4,".png"
"343","vtnpc9v0","Closeness-","3",2,".png"
"346","eo7g3bb9","Closeness-","3",1,".png"
"349","eyf8awh6","Closeness-","3",3,".png"
"352","8a4rmozk","Closeness-","3",3,".png"
"355","ske1wdwv","Closeness-","3",4,".png"
"358","wkig7g26","Closeness-","3",3,".png"
"361","x886pg16","Closeness-","3",4,".png"
"364","4swlxwke","Closeness-","3",3,".png"
"367","piedsqfp","Closeness-","3",3,".png"
"370","8fjzf3vt","Closeness-","3",6,".png"
"373","20ncbce2","Closeness-","3",2,".png"
"376","eg36xi0r","Closeness-","3",2,".png"
"379","mx4as100","Closeness-","3",5,".png"
"383","5suttvcr","Closeness-","2",5,".png"
"386","bw2gsvf5","Closeness-","2",2,".png"
"389","tfbf68k4","Closeness-","2",3,".png"
"392","hs6ft2tt","Closeness-","2",3,".png"
"396","5suttvcr","Closeness-","1",3,".png"
"399","bw2gsvf5","Closeness-","1",1,".png"
"402","tfbf68k4","Closeness-","1",2,".png"
"405","hs6ft2tt","Closeness-","1",2,".png"
"409","5suttvcr","Closeness-","3",4,".png"
"412","bw2gsvf5","Closeness-","3",2,".png"
"415","tfbf68k4","Closeness-","3",3,".png"
"418","hs6ft2tt","Closeness-","3",3,".png"
"425","jwit68o8","Closeness-","2",2,".png"
"428","l51yoirf","Closeness-","2",4,".png"
"431","ll7yp6dw","Closeness-","2",4,".png"
"434","f5iukocs","Closeness-","2",3,".png"
"437","1tta9k0e","Closeness-","2",5,".png"
"440","10gyt4yw","Closeness-","2",4,".png"
"443","rl6qzzwk","Closeness-","2",1,".png"
"446","yuxt0mr0","Closeness-","2",2,".png"
"449","el4g7vqv","Closeness-","2",1,".png"
"452","0latiljl","Closeness-","2",2,".png"
"455","yrqlg96p","Closeness-","2",2,".png"
"458","49puxoj7","Closeness-","2",6,".png"
"461","jsk580jc","Closeness-","2",2,".png"
"464","2nov5ul3","Closeness-","2",2,".png"
"467","9gexj2th","Closeness-","2",1,".png"
"470","ypkywtgz","Closeness-","2",1,".png"
"474","jwit68o8","Closeness-","1",1,".png"
"477","l51yoirf","Closeness-","1",3,".png"
"480","ll7yp6dw","Closeness-","1",1,".png"
"483","f5iukocs","Closeness-","1",5,".png"
"486","1tta9k0e","Closeness-","1",1,".png"
"489","10gyt4yw","Closeness-","1",1,".png"
"492","rl6qzzwk","Closeness-","1",2,".png"
"495","yuxt0mr0","Closeness-","1",3,".png"
"498","el4g7vqv","Closeness-","1",1,".png"
"501","0latiljl","Closeness-","1",4,".png"
"504","yrqlg96p","Closeness-","1",3,".png"
"507","49puxoj7","Closeness-","1",5,".png"
"510","jsk580jc","Closeness-","1",3,".png"
"513","2nov5ul3","Closeness-","1",3,".png"
"516","9gexj2th","Closeness-","1",2,".png"
"519","ypkywtgz","Closeness-","1",1,".png"
"523","jwit68o8","Closeness-","3",2,".png"
"526","l51yoirf","Closeness-","3",5,".png"
"529","ll7yp6dw","Closeness-","3",2,".png"
"532","f5iukocs","Closeness-","3",5,".png"
"535","1tta9k0e","Closeness-","3",3,".png"
"538","10gyt4yw","Closeness-","3",5,".png"
"541","rl6qzzwk","Closeness-","3",2,".png"
"544","yuxt0mr0","Closeness-","3",5,".png"
"547","el4g7vqv","Closeness-","3",1,".png"
"550","0latiljl","Closeness-","3",3,".png"
"553","yrqlg96p","Closeness-","3",3,".png"
"556","49puxoj7","Closeness-","3",4,".png"
"559","jsk580jc","Closeness-","3",3,".png"
"562","2nov5ul3","Closeness-","3",3,".png"
"565","9gexj2th","Closeness-","3",2,".png"
"568","ypkywtgz","Closeness-","3",1,".png"
