"","Participant_Public_ID","Task_Name","Screen_Name","Zone_Name","Response","Hint"
"4","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left."""
"5","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left."""
"6","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"7","ucjf5it7","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"9","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"10","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"11","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"12","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"14","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"15","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"16","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"17","ucjf5it7","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"19","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left."""
"20","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left."""
"21","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"22","ucjf5it7","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"24","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"25","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"26","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"27","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"29","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left this time."""
"30","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left this time."""
"31","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose left this time."""
"32","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose left this time."""
"34","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right."""
"35","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right."""
"36","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"37","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"39","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s right this time, I think."""
"40","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s right this time, I think."""
"41","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s right this time, I think."""
"42","ucjf5it7","Maze game_Amie&Maria","Left","Continue","Continue","""It’s right this time, I think."""
"44","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"45","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"46","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s left this time, I think."""
"47","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s left this time, I think."""
"49","ucjf5it7","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right this time."""
"50","ucjf5it7","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right this time."""
"51","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"52","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"54","ucjf5it7","Maze game_Amie&Maria","Help","AnnaButton","Claire","""It’s left this time, I think."""
"55","ucjf5it7","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""It’s left this time, I think."""
"56","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s left this time, I think."""
"57","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s left this time, I think."""
"59","ucjf5it7","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right."""
"60","ucjf5it7","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right."""
"61","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"62","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"70","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left."""
"71","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left."""
"72","x15hufum","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"73","x15hufum","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"75","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"76","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"77","x15hufum","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"78","x15hufum","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"80","x15hufum","Maze game_Amie&Maria","Help","AnnaButton","Claire","""It’s left this time, I think."""
"81","x15hufum","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""It’s left this time, I think."""
"82","x15hufum","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s left this time, I think."""
"83","x15hufum","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s left this time, I think."""
"85","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left."""
"86","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left."""
"87","x15hufum","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose left."""
"88","x15hufum","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose left."""
"90","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"91","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"92","x15hufum","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"93","x15hufum","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"95","x15hufum","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose left this time."""
"96","x15hufum","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose left this time."""
"97","x15hufum","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left this time."""
"98","x15hufum","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left this time."""
"100","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right."""
"101","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right."""
"102","x15hufum","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"103","x15hufum","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"105","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s right this time, I think."""
"106","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s right this time, I think."""
"107","x15hufum","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s right this time, I think."""
"108","x15hufum","Maze game_Amie&Maria","Left","Continue","Continue","""It’s right this time, I think."""
"110","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"111","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"112","x15hufum","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"113","x15hufum","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"115","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"116","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"117","x15hufum","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"118","x15hufum","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"120","x15hufum","Maze game_Amie&Maria","Help","AnnaButton","Claire","""It’s left this time, I think."""
