Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652780488390,17/05/2022 09:41:28,1652780488281,1,17/05/2022 10:41:28,86605,11,questionnaire-2kte,,21931358,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1324x910,,intro ,4,No,BEGIN QUESTIONNAIRE,
2,1652780515747,17/05/2022 09:41:55,1652780515697,1,17/05/2022 10:41:55,86605,11,questionnaire-2kte,,21931358,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,END QUESTIONNAIRE,27416
1,1652785808466,17/05/2022 11:10:08,1652785808333,1,17/05/2022 12:10:08,86605,11,questionnaire-2kte,,21932571,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1324x910,,intro ,4,No,BEGIN QUESTIONNAIRE,
2,1652785980132,17/05/2022 11:13:00,1652785980005,1,17/05/2022 12:13:00,86605,11,questionnaire-2kte,,21932571,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,END QUESTIONNAIRE,171672
1,1652798742443,17/05/2022 14:45:42,1652798742355,1,17/05/2022 15:45:42,86605,11,questionnaire-2kte,,21937815,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1324x909,,intro ,4,No,BEGIN QUESTIONNAIRE,
2,1652799276187,17/05/2022 14:54:36,1652799276078,1,17/05/2022 15:54:36,86605,11,questionnaire-2kte,,21937815,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,END QUESTIONNAIRE,533723
1,1652804333804,17/05/2022 16:18:53,1652804333671,1,17/05/2022 17:18:53,86605,11,questionnaire-2kte,,21945302,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1324x909,,intro ,4,No,BEGIN QUESTIONNAIRE,
2,1652804447238,17/05/2022 16:20:47,1652804447097,1,17/05/2022 17:20:47,86605,11,questionnaire-2kte,,21945302,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,END QUESTIONNAIRE,113426
1,1652864502964,18/05/2022 09:01:42,1652864502869,1,18/05/2022 10:01:42,86605,11,questionnaire-2kte,,21960211,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,BEGIN QUESTIONNAIRE,
2,1652864521336,18/05/2022 09:02:01,1652864521282,1,18/05/2022 10:02:01,86605,11,questionnaire-2kte,,21960211,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,END QUESTIONNAIRE,18413
1,1652870080757,18/05/2022 10:34:40,1652870080677,1,18/05/2022 11:34:40,86605,11,questionnaire-2kte,,21963042,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,BEGIN QUESTIONNAIRE,
2,1652870170529,18/05/2022 10:36:10,1652870170349,1,18/05/2022 11:36:10,86605,11,questionnaire-2kte,,21963042,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,END QUESTIONNAIRE,89672
1,1652888163215,18/05/2022 15:36:03,1652888163131,1,18/05/2022 16:36:03,86605,11,questionnaire-2kte,,21970130,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1324x909,,intro ,4,No,BEGIN QUESTIONNAIRE,
2,1652888225087,18/05/2022 15:37:05,1652888224920,1,18/05/2022 16:37:04,86605,11,questionnaire-2kte,,21970130,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,intro ,4,No,END QUESTIONNAIRE,61790
END OF FILE
