Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652780579838,17/05/2022 09:42:59,1652780579724,1,17/05/2022 10:42:59,86605,11,questionnaire-542i,,21931389,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,BEGIN QUESTIONNAIRE,
2,1652780595567,17/05/2022 09:43:15,1652780595489,1,17/05/2022 10:43:15,86605,11,questionnaire-542i,,21931389,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_interest,5
3,1652780595633,17/05/2022 09:43:15,1652780595490,1,17/05/2022 10:43:15,86605,11,questionnaire-542i,,21931389,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_interest-quantised,5
4,1652780595633,17/05/2022 09:43:15,1652780595490,1,17/05/2022 10:43:15,86605,11,questionnaire-542i,,21931389,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_visits,12
5,1652780595633,17/05/2022 09:43:15,1652780595490,1,17/05/2022 10:43:15,86605,11,questionnaire-542i,,21931389,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_knowledge,3
6,1652780595633,17/05/2022 09:43:15,1652780595491,1,17/05/2022 10:43:15,86605,11,questionnaire-542i,,21931389,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_knowledge-quantised,3
7,1652780595633,17/05/2022 09:43:15,1652780595491,1,17/05/2022 10:43:15,86605,11,questionnaire-542i,,21931389,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,END QUESTIONNAIRE,15767
1,1652786114860,17/05/2022 11:15:14,1652786114739,1,17/05/2022 12:15:14,86605,11,questionnaire-542i,,21932627,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,BEGIN QUESTIONNAIRE,
2,1652786146652,17/05/2022 11:15:46,1652786146588,1,17/05/2022 12:15:46,86605,11,questionnaire-542i,,21932627,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_interest,4
3,1652786146728,17/05/2022 11:15:46,1652786146590,1,17/05/2022 12:15:46,86605,11,questionnaire-542i,,21932627,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_interest-quantised,4
4,1652786146728,17/05/2022 11:15:46,1652786146590,1,17/05/2022 12:15:46,86605,11,questionnaire-542i,,21932627,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_visits,less than 10
5,1652786146728,17/05/2022 11:15:46,1652786146590,1,17/05/2022 12:15:46,86605,11,questionnaire-542i,,21932627,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_knowledge,4
6,1652786146728,17/05/2022 11:15:46,1652786146590,1,17/05/2022 12:15:46,86605,11,questionnaire-542i,,21932627,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_knowledge-quantised,4
7,1652786146728,17/05/2022 11:15:46,1652786146590,1,17/05/2022 12:15:46,86605,11,questionnaire-542i,,21932627,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,END QUESTIONNAIRE,31851
1,1652799438556,17/05/2022 14:57:18,1652799438451,1,17/05/2022 15:57:18,86605,11,questionnaire-542i,,21938060,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,BEGIN QUESTIONNAIRE,
2,1652799470363,17/05/2022 14:57:50,1652799470299,1,17/05/2022 15:57:50,86605,11,questionnaire-542i,,21938060,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_interest,6
3,1652799470420,17/05/2022 14:57:50,1652799470301,1,17/05/2022 15:57:50,86605,11,questionnaire-542i,,21938060,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_interest-quantised,6
4,1652799470420,17/05/2022 14:57:50,1652799470301,1,17/05/2022 15:57:50,86605,11,questionnaire-542i,,21938060,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_visits,2
5,1652799470420,17/05/2022 14:57:50,1652799470301,1,17/05/2022 15:57:50,86605,11,questionnaire-542i,,21938060,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_knowledge,3
6,1652799470420,17/05/2022 14:57:50,1652799470301,1,17/05/2022 15:57:50,86605,11,questionnaire-542i,,21938060,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Art interests,9,No,art_knowledge-quantised,3
