Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652782227145,17/05/2022 10:10:27,1652782227032,1,17/05/2022 11:10:27,86605,11,questionnaire-5q1d,,21931778,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652782239358,17/05/2022 10:10:39,1652782239279,1,17/05/2022 11:10:39,86605,11,questionnaire-5q1d,,21931778,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),Rapport_connection3,70
3,1652782239396,17/05/2022 10:10:39,1652782239281,1,17/05/2022 11:10:39,86605,11,questionnaire-5q1d,,21931778,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),Rapport_understanding3,70
4,1652782239396,17/05/2022 10:10:39,1652782239281,1,17/05/2022 11:10:39,86605,11,questionnaire-5q1d,,21931778,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),Rapport_established_rapport3,70
5,1652782239396,17/05/2022 10:10:39,1652782239281,1,17/05/2022 11:10:39,86605,11,questionnaire-5q1d,,21931778,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),END QUESTIONNAIRE,12249
1,1652787951073,17/05/2022 11:45:51,1652787950989,1,17/05/2022 12:45:50,86605,11,questionnaire-5q1d,,21933079,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652787964592,17/05/2022 11:46:04,1652787964550,1,17/05/2022 12:46:04,86605,11,questionnaire-5q1d,,21933079,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),Rapport_understanding3,61
3,1652787964639,17/05/2022 11:46:04,1652787964552,1,17/05/2022 12:46:04,86605,11,questionnaire-5q1d,,21933079,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),Rapport_established_rapport3,50
4,1652787964639,17/05/2022 11:46:04,1652787964552,1,17/05/2022 12:46:04,86605,11,questionnaire-5q1d,,21933079,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),Rapport_connection3,61
5,1652787964639,17/05/2022 11:46:04,1652787964552,1,17/05/2022 12:46:04,86605,11,questionnaire-5q1d,,21933079,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 3,4,Yes (except first),END QUESTIONNAIRE,13563
