Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652783028540,17/05/2022 10:23:48,1652783028446,1,17/05/2022 11:23:48,86605,11,questionnaire-6ihv,,21931966,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,BEGIN QUESTIONNAIRE,
2,1652783135818,17/05/2022 10:25:35,1652783135677,1,17/05/2022 11:25:35,86605,11,questionnaire-6ihv,,21931966,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,Debriefing_TheirThoughts,it was a fun experience 
3,1652783135869,17/05/2022 10:25:35,1652783135679,1,17/05/2022 11:25:35,86605,11,questionnaire-6ihv,,21931966,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,response-2,6
4,1652783135869,17/05/2022 10:25:35,1652783135679,1,17/05/2022 11:25:35,86605,11,questionnaire-6ihv,,21931966,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,response-2-quantised,6
5,1652783135869,17/05/2022 10:25:35,1652783135679,1,17/05/2022 11:25:35,86605,11,questionnaire-6ihv,,21931966,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,Debriefing_StudyGoal,Exploring people perspection of art through a community lens. 
6,1652783135869,17/05/2022 10:25:35,1652783135680,1,17/05/2022 11:25:35,86605,11,questionnaire-6ihv,,21931966,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,Debriefing_confederates,"Nothing major, but some click with me on the same images "
7,1652783135869,17/05/2022 10:25:35,1652783135680,1,17/05/2022 11:25:35,86605,11,questionnaire-6ihv,,21931966,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,END QUESTIONNAIRE,107234
1,1652789065538,17/05/2022 12:04:25,1652789065448,1,17/05/2022 13:04:25,86605,11,questionnaire-6ihv,,21933418,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,BEGIN QUESTIONNAIRE,
2,1652789251945,17/05/2022 12:07:31,1652789251832,1,17/05/2022 13:07:31,86605,11,questionnaire-6ihv,,21933418,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,Debriefing_TheirThoughts,Interesting!
3,1652789252000,17/05/2022 12:07:32,1652789251834,1,17/05/2022 13:07:31,86605,11,questionnaire-6ihv,,21933418,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,response-2,3
4,1652789252000,17/05/2022 12:07:32,1652789251835,1,17/05/2022 13:07:31,86605,11,questionnaire-6ihv,,21933418,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,response-2-quantised,3
5,1652789252000,17/05/2022 12:07:32,1652789251835,1,17/05/2022 13:07:31,86605,11,questionnaire-6ihv,,21933418,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,Debriefing_StudyGoal,I guess maybe testing trust and social interactions between people by arts.
6,1652789252000,17/05/2022 12:07:32,1652789251835,1,17/05/2022 13:07:31,86605,11,questionnaire-6ihv,,21933418,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,Debriefing_confederates,I guess sometimes they gave some reactions on purpose.
7,1652789252000,17/05/2022 12:07:32,1652789251835,1,17/05/2022 13:07:31,86605,11,questionnaire-6ihv,,21933418,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Debriefing,4,No,END QUESTIONNAIRE,186387
