Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652780689173,17/05/2022 09:44:49,1652780689081,1,17/05/2022 10:44:49,86605,11,questionnaire-7nt5,,21931413,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,BEGIN QUESTIONNAIRE,
2,1652781323147,17/05/2022 09:55:23,1652781323006,1,17/05/2022 10:55:23,86605,11,questionnaire-7nt5,,21931413,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,AffectiveStateMeasure1,75
3,1652781323189,17/05/2022 09:55:23,1652781323008,1,17/05/2022 10:55:23,86605,11,questionnaire-7nt5,,21931413,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,END QUESTIONNAIRE,633927
1,1652786916875,17/05/2022 11:28:36,1652786916778,1,17/05/2022 12:28:36,86605,11,questionnaire-7nt5,,21932786,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,BEGIN QUESTIONNAIRE,
2,1652786931865,17/05/2022 11:28:51,1652786931793,1,17/05/2022 12:28:51,86605,11,questionnaire-7nt5,,21932786,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,AffectiveStateMeasure1,57
3,1652786931937,17/05/2022 11:28:51,1652786931794,1,17/05/2022 12:28:51,86605,11,questionnaire-7nt5,,21932786,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,END QUESTIONNAIRE,15016
1,1652800360417,17/05/2022 15:12:40,1652800360329,1,17/05/2022 16:12:40,86605,11,questionnaire-7nt5,,21938567,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,BEGIN QUESTIONNAIRE,
2,1652800393938,17/05/2022 15:13:13,1652800393861,1,17/05/2022 16:13:13,86605,11,questionnaire-7nt5,,21938567,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,AffectiveStateMeasure1,50
3,1652800393982,17/05/2022 15:13:13,1652800393863,1,17/05/2022 16:13:13,86605,11,questionnaire-7nt5,,21938567,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,END QUESTIONNAIRE,33534
1,1652804666956,17/05/2022 16:24:26,1652804666835,1,17/05/2022 17:24:26,86605,11,questionnaire-7nt5,,21945446,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,BEGIN QUESTIONNAIRE,
2,1652805238668,17/05/2022 16:33:58,1652805238539,1,17/05/2022 17:33:58,86605,11,questionnaire-7nt5,,21945446,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,AffectiveStateMeasure1,60
3,1652805238720,17/05/2022 16:33:58,1652805238541,1,17/05/2022 17:33:58,86605,11,questionnaire-7nt5,,21945446,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,END QUESTIONNAIRE,571706
1,1652865490036,18/05/2022 09:18:10,1652865489944,1,18/05/2022 10:18:09,86605,11,questionnaire-7nt5,,21960722,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,BEGIN QUESTIONNAIRE,
2,1652865498911,18/05/2022 09:18:18,1652865498833,1,18/05/2022 10:18:18,86605,11,questionnaire-7nt5,,21960722,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,AffectiveStateMeasure1,55
3,1652865499058,18/05/2022 09:18:19,1652865498835,1,18/05/2022 10:18:18,86605,11,questionnaire-7nt5,,21960722,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,END QUESTIONNAIRE,8891
1,1652871075153,18/05/2022 10:51:15,1652871075052,1,18/05/2022 11:51:15,86605,11,questionnaire-7nt5,,21963387,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,BEGIN QUESTIONNAIRE,
2,1652871086575,18/05/2022 10:51:26,1652871086432,1,18/05/2022 11:51:26,86605,11,questionnaire-7nt5,,21963387,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,AffectiveStateMeasure1,28
3,1652871086633,18/05/2022 10:51:26,1652871086434,1,18/05/2022 11:51:26,86605,11,questionnaire-7nt5,,21963387,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,END QUESTIONNAIRE,11382
1,1652888517968,18/05/2022 15:41:57,1652888517894,1,18/05/2022 16:41:57,86605,11,questionnaire-7nt5,,21970263,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,BEGIN QUESTIONNAIRE,
2,1652889223550,18/05/2022 15:53:43,1652889223426,1,18/05/2022 16:53:43,86605,11,questionnaire-7nt5,,21970263,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,AffectiveStateMeasure1,100
3,1652889223610,18/05/2022 15:53:43,1652889223428,1,18/05/2022 16:53:43,86605,11,questionnaire-7nt5,,21970263,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 1,2,No,END QUESTIONNAIRE,705534
END OF FILE
