Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652781810210,17/05/2022 10:03:30,1652781810105,1,17/05/2022 11:03:30,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652781836840,17/05/2022 10:03:56,1652781836780,1,17/05/2022 11:03:56,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),Affilitation_Acceptance2,70
3,1652781836885,17/05/2022 10:03:56,1652781836781,1,17/05/2022 11:03:56,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),Affilitation_Sympathy2,70
4,1652781836885,17/05/2022 10:03:56,1652781836781,1,17/05/2022 11:03:56,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),Affilitation_Avoidance2,10
5,1652781836885,17/05/2022 10:03:56,1652781836781,1,17/05/2022 11:03:56,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),Affilitation_Distrust2,10
6,1652781836885,17/05/2022 10:03:56,1652781836782,1,17/05/2022 11:03:56,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),Affilitation_Hostility2,10
7,1652781836885,17/05/2022 10:03:56,1652781836782,1,17/05/2022 11:03:56,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),Affilitation_Generosity2,60
8,1652781836885,17/05/2022 10:03:56,1652781836782,1,17/05/2022 11:03:56,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),Affilitation_Gratitude2,50
9,1652781836885,17/05/2022 10:03:56,1652781836782,1,17/05/2022 11:03:56,86605,11,questionnaire-8s8b,,21931670,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),END QUESTIONNAIRE,26677
1,1652787540650,17/05/2022 11:39:00,1652787540543,1,17/05/2022 12:39:00,86605,11,questionnaire-8s8b,,21932945,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652787565604,17/05/2022 11:39:25,1652787565554,1,17/05/2022 12:39:25,86605,11,questionnaire-8s8b,,21932945,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 2,3,Yes (except first),Affilitation_Sympathy2,69
