Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652781382539,17/05/2022 09:56:22,1652781382444,1,17/05/2022 10:56:22,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,BEGIN QUESTIONNAIRE,
2,1652781401059,17/05/2022 09:56:41,1652781400980,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_friendly-1,3
3,1652781401123,17/05/2022 09:56:41,1652781400981,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_friendly-1-quantised,3
4,1652781401123,17/05/2022 09:56:41,1652781400981,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_similarity-1,2
5,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_similarity-1-quantised,2
6,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_attractiveness-1,2
7,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_attractiveness-1-quantised,2
8,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_art_knowledge-1,3
9,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_art_knowledge-1-quantised,3
10,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_competent-1,4
11,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_competent-1-quantised,4
12,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_rational-1,3
13,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_rational-1-quantised,3
14,1652781401123,17/05/2022 09:56:41,1652781400982,1,17/05/2022 10:56:40,86605,11,questionnaire-9i2z,,21931549,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,END QUESTIONNAIRE,18538
1,1652787125461,17/05/2022 11:32:05,1652787125363,1,17/05/2022 12:32:05,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,BEGIN QUESTIONNAIRE,
2,1652787144200,17/05/2022 11:32:24,1652787144139,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_friendly-1,5
3,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_friendly-1-quantised,5
