Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652782847566,17/05/2022 10:20:47,1652782847411,1,17/05/2022 11:20:47,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,BEGIN QUESTIONNAIRE,
2,1652782916946,17/05/2022 10:21:56,1652782916891,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_1,1
3,1652782917002,17/05/2022 10:21:57,1652782916892,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_1-quantised,2
4,1652782917002,17/05/2022 10:21:57,1652782916892,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_2,1
5,1652782917002,17/05/2022 10:21:57,1652782916892,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_2-quantised,2
6,1652782917002,17/05/2022 10:21:57,1652782916892,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_3,0
7,1652782917002,17/05/2022 10:21:57,1652782916892,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_3-quantised,1
8,1652782917002,17/05/2022 10:21:57,1652782916892,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_4,2
9,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_4-quantised,3
10,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_5,4
11,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_5-quantised,5
12,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_6,2
13,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_6-quantised,3
14,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_7,0
15,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_7-quantised,1
16,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_8,0
17,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_8-quantised,1
18,1652782917002,17/05/2022 10:21:57,1652782916893,1,17/05/2022 11:21:56,86605,11,questionnaire-aqvy,,21931930,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,SIAS,1,No,SIAS_9,4
