Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652782220533,17/05/2022 10:10:20,1652782220387,1,17/05/2022 11:10:20,86605,11,questionnaire-bmaj,,21931776,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,BEGIN QUESTIONNAIRE,
2,1652782226402,17/05/2022 10:10:26,1652782226334,1,17/05/2022 11:10:26,86605,11,questionnaire-bmaj,,21931776,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,AffectiveStateMeasure3,70
3,1652782226470,17/05/2022 10:10:26,1652782226336,1,17/05/2022 11:10:26,86605,11,questionnaire-bmaj,,21931776,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,END QUESTIONNAIRE,5949
1,1652787944917,17/05/2022 11:45:44,1652787944820,1,17/05/2022 12:45:44,86605,11,questionnaire-bmaj,,21933075,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,BEGIN QUESTIONNAIRE,
2,1652787950449,17/05/2022 11:45:50,1652787950385,1,17/05/2022 12:45:50,86605,11,questionnaire-bmaj,,21933075,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,AffectiveStateMeasure3,50
3,1652787950497,17/05/2022 11:45:50,1652787950386,1,17/05/2022 12:45:50,86605,11,questionnaire-bmaj,,21933075,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,END QUESTIONNAIRE,5567
1,1652801345510,17/05/2022 15:29:05,1652801345423,1,17/05/2022 16:29:05,86605,11,questionnaire-bmaj,,21940631,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,BEGIN QUESTIONNAIRE,
2,1652801348549,17/05/2022 15:29:08,1652801348501,1,17/05/2022 16:29:08,86605,11,questionnaire-bmaj,,21940631,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,AffectiveStateMeasure3,50
3,1652801348590,17/05/2022 15:29:08,1652801348502,1,17/05/2022 16:29:08,86605,11,questionnaire-bmaj,,21940631,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,END QUESTIONNAIRE,3079
1,1652806131577,17/05/2022 16:48:51,1652806131455,1,17/05/2022 17:48:51,86605,11,questionnaire-bmaj,,21946270,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,BEGIN QUESTIONNAIRE,
2,1652806136930,17/05/2022 16:48:56,1652806136839,1,17/05/2022 17:48:56,86605,11,questionnaire-bmaj,,21946270,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,AffectiveStateMeasure3,86
3,1652806136988,17/05/2022 16:48:56,1652806136841,1,17/05/2022 17:48:56,86605,11,questionnaire-bmaj,,21946270,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,END QUESTIONNAIRE,5386
1,1652866418718,18/05/2022 09:33:38,1652866418611,1,18/05/2022 10:33:38,86605,11,questionnaire-bmaj,,21961493,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 3,2,No,BEGIN QUESTIONNAIRE,
