Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652780557018,17/05/2022 09:42:37,1652780556896,1,17/05/2022 10:42:36,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,BEGIN QUESTIONNAIRE,
2,1652780579004,17/05/2022 09:42:59,1652780578927,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,Sex,Male
3,1652780579059,17/05/2022 09:42:59,1652780578928,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,Sex-quantised,2
4,1652780579059,17/05/2022 09:42:59,1652780578928,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,Sex-text,
5,1652780579059,17/05/2022 09:42:59,1652780578928,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,age,28
6,1652780579059,17/05/2022 09:42:59,1652780578929,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,Education,Post-graduate degree
7,1652780579059,17/05/2022 09:42:59,1652780578929,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,Education-quantised,5
8,1652780579059,17/05/2022 09:42:59,1652780578929,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,Ethnicity,Mixed
9,1652780579059,17/05/2022 09:42:59,1652780578929,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,Ethnicity-quantised,5
10,1652780579059,17/05/2022 09:42:59,1652780578929,1,17/05/2022 10:42:58,86605,11,questionnaire-cppy,,21931385,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Demographics,4,No,Ethnicity-text,
