Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652781837675,17/05/2022 10:03:57,1652781837564,1,17/05/2022 11:03:57,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,BEGIN QUESTIONNAIRE,
2,1652781850678,17/05/2022 10:04:10,1652781850603,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_friendly-2,5
3,1652781850721,17/05/2022 10:04:10,1652781850605,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_friendly-2-quantised,5
4,1652781850721,17/05/2022 10:04:10,1652781850605,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_similarity-2,5
5,1652781850721,17/05/2022 10:04:10,1652781850605,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_similarity-2-quantised,5
6,1652781850721,17/05/2022 10:04:10,1652781850605,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_attractiveness-2,6
7,1652781850721,17/05/2022 10:04:10,1652781850605,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_attractiveness-2-quantised,6
8,1652781850721,17/05/2022 10:04:10,1652781850605,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_art_knowledge-2,4
9,1652781850721,17/05/2022 10:04:10,1652781850605,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_art_knowledge-2-quantised,4
10,1652781850721,17/05/2022 10:04:10,1652781850605,1,17/05/2022 11:04:10,86605,11,questionnaire-e3lq,,21931678,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 2,2,No,rating_competent-2,5
