Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652782917948,17/05/2022 10:21:57,1652782917831,1,17/05/2022 11:21:57,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,BEGIN QUESTIONNAIRE,
2,1652783027695,17/05/2022 10:23:47,1652783027575,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_1,7
3,1652783027750,17/05/2022 10:23:47,1652783027577,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_1-quantised,7
4,1652783027750,17/05/2022 10:23:47,1652783027577,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_2,7
5,1652783027750,17/05/2022 10:23:47,1652783027577,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_2-quantised,7
6,1652783027750,17/05/2022 10:23:47,1652783027577,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_3,3
7,1652783027750,17/05/2022 10:23:47,1652783027577,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_3-quantised,3
8,1652783027750,17/05/2022 10:23:47,1652783027577,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_4,7
9,1652783027750,17/05/2022 10:23:47,1652783027577,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_4-quantised,7
10,1652783027750,17/05/2022 10:23:47,1652783027577,1,17/05/2022 11:23:47,86605,11,questionnaire-e44t,,21931947,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,self construal-dependence/independence,2,No,SCDP_5,6
