Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652781787211,17/05/2022 10:03:07,1652781787122,1,17/05/2022 11:03:07,86605,11,questionnaire-fggy,,21931664,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,BEGIN QUESTIONNAIRE,
2,1652781795422,17/05/2022 10:03:15,1652781795323,1,17/05/2022 11:03:15,86605,11,questionnaire-fggy,,21931664,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,AffectiveStateMeasure2,80
3,1652781795491,17/05/2022 10:03:15,1652781795325,1,17/05/2022 11:03:15,86605,11,questionnaire-fggy,,21931664,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,END QUESTIONNAIRE,8203
1,1652787174174,17/05/2022 11:32:54,1652787174071,1,17/05/2022 12:32:54,86605,11,questionnaire-fggy,,21932858,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,BEGIN QUESTIONNAIRE,
2,1652787526282,17/05/2022 11:38:46,1652787526167,1,17/05/2022 12:38:46,86605,11,questionnaire-fggy,,21932858,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,AffectiveStateMeasure2,73
3,1652787526335,17/05/2022 11:38:46,1652787526169,1,17/05/2022 12:38:46,86605,11,questionnaire-fggy,,21932858,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,END QUESTIONNAIRE,352098
1,1652800917731,17/05/2022 15:21:57,1652800917658,1,17/05/2022 16:21:57,86605,11,questionnaire-fggy,,21939298,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,BEGIN QUESTIONNAIRE,
2,1652800923434,17/05/2022 15:22:03,1652800923366,1,17/05/2022 16:22:03,86605,11,questionnaire-fggy,,21939298,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,AffectiveStateMeasure2,58
3,1652800923505,17/05/2022 15:22:03,1652800923368,1,17/05/2022 16:22:03,86605,11,questionnaire-fggy,,21939298,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,END QUESTIONNAIRE,5710
1,1652805688965,17/05/2022 16:41:28,1652805688840,1,17/05/2022 17:41:28,86605,11,questionnaire-fggy,,21946042,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,BEGIN QUESTIONNAIRE,
2,1652805694382,17/05/2022 16:41:34,1652805694312,1,17/05/2022 17:41:34,86605,11,questionnaire-fggy,,21946042,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,AffectiveStateMeasure2,81
3,1652805694421,17/05/2022 16:41:34,1652805694313,1,17/05/2022 17:41:34,86605,11,questionnaire-fggy,,21946042,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,END QUESTIONNAIRE,5473
1,1652865977980,18/05/2022 09:26:17,1652865977896,1,18/05/2022 10:26:17,86605,11,questionnaire-fggy,,21961071,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,BEGIN QUESTIONNAIRE,
2,1652865986759,18/05/2022 09:26:26,1652865986707,1,18/05/2022 10:26:26,86605,11,questionnaire-fggy,,21961071,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,AffectiveStateMeasure2,55
3,1652865986808,18/05/2022 09:26:26,1652865986708,1,18/05/2022 10:26:26,86605,11,questionnaire-fggy,,21961071,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,END QUESTIONNAIRE,8812
1,1652871485096,18/05/2022 10:58:05,1652871484992,1,18/05/2022 11:58:04,86605,11,questionnaire-fggy,,21963586,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,BEGIN QUESTIONNAIRE,
2,1652871492537,18/05/2022 10:58:12,1652871492481,1,18/05/2022 11:58:12,86605,11,questionnaire-fggy,,21963586,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,AffectiveStateMeasure2,69
3,1652871492598,18/05/2022 10:58:12,1652871492482,1,18/05/2022 11:58:12,86605,11,questionnaire-fggy,,21963586,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,END QUESTIONNAIRE,7490
1,1652889629840,18/05/2022 16:00:29,1652889629755,1,18/05/2022 17:00:29,86605,11,questionnaire-fggy,,21970650,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,BEGIN QUESTIONNAIRE,
2,1652889635493,18/05/2022 16:00:35,1652889635452,1,18/05/2022 17:00:35,86605,11,questionnaire-fggy,,21970650,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,AffectiveStateMeasure2,93
3,1652889635568,18/05/2022 16:00:35,1652889635453,1,18/05/2022 17:00:35,86605,11,questionnaire-fggy,,21970650,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affective state measure - 2,2,No,END QUESTIONNAIRE,5698
END OF FILE
