Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652782240075,17/05/2022 10:10:40,1652782239958,1,17/05/2022 11:10:39,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652782263036,17/05/2022 10:11:03,1652782262963,1,17/05/2022 11:11:02,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Sympathy3,70
3,1652782263103,17/05/2022 10:11:03,1652782262964,1,17/05/2022 11:11:02,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Gratitude3,27
4,1652782263103,17/05/2022 10:11:03,1652782262965,1,17/05/2022 11:11:02,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Distrust3,0
5,1652782263103,17/05/2022 10:11:03,1652782262965,1,17/05/2022 11:11:02,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Acceptance3,70
6,1652782263103,17/05/2022 10:11:03,1652782262965,1,17/05/2022 11:11:02,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Avoidance3,0
7,1652782263103,17/05/2022 10:11:03,1652782262965,1,17/05/2022 11:11:02,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Hostility3,0
8,1652782263103,17/05/2022 10:11:03,1652782262965,1,17/05/2022 11:11:02,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Generosity3,65
9,1652782263103,17/05/2022 10:11:03,1652782262965,1,17/05/2022 11:11:02,86605,11,questionnaire-ftmy,,21931783,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),END QUESTIONNAIRE,23007
1,1652787965272,17/05/2022 11:46:05,1652787965173,1,17/05/2022 12:46:05,86605,11,questionnaire-ftmy,,21933083,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652787990975,17/05/2022 11:46:30,1652787990939,1,17/05/2022 12:46:30,86605,11,questionnaire-ftmy,,21933083,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Distrust3,50
3,1652787991043,17/05/2022 11:46:31,1652787990941,1,17/05/2022 12:46:30,86605,11,questionnaire-ftmy,,21933083,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Avoidance3,33
4,1652787991043,17/05/2022 11:46:31,1652787990941,1,17/05/2022 12:46:30,86605,11,questionnaire-ftmy,,21933083,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Sympathy3,61
5,1652787991043,17/05/2022 11:46:31,1652787990941,1,17/05/2022 12:46:30,86605,11,questionnaire-ftmy,,21933083,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 3,3,Yes (except first),Affilitation_Acceptance3,32
