Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652781796210,17/05/2022 10:03:16,1652781796111,1,17/05/2022 11:03:16,86605,11,questionnaire-i9pw,,21931667,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652781809469,17/05/2022 10:03:29,1652781809413,1,17/05/2022 11:03:29,86605,11,questionnaire-i9pw,,21931667,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_understanding2,82
3,1652781809542,17/05/2022 10:03:29,1652781809415,1,17/05/2022 11:03:29,86605,11,questionnaire-i9pw,,21931667,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_connection2,90
4,1652781809542,17/05/2022 10:03:29,1652781809415,1,17/05/2022 11:03:29,86605,11,questionnaire-i9pw,,21931667,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_established_rapport2,78
5,1652781809542,17/05/2022 10:03:29,1652781809415,1,17/05/2022 11:03:29,86605,11,questionnaire-i9pw,,21931667,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),END QUESTIONNAIRE,13304
1,1652787527012,17/05/2022 11:38:47,1652787526913,1,17/05/2022 12:38:46,86605,11,questionnaire-i9pw,,21932941,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652787539511,17/05/2022 11:38:59,1652787539456,1,17/05/2022 12:38:59,86605,11,questionnaire-i9pw,,21932941,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_understanding2,63
3,1652787539571,17/05/2022 11:38:59,1652787539457,1,17/05/2022 12:38:59,86605,11,questionnaire-i9pw,,21932941,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_connection2,65
4,1652787539571,17/05/2022 11:38:59,1652787539457,1,17/05/2022 12:38:59,86605,11,questionnaire-i9pw,,21932941,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_established_rapport2,67
5,1652787539571,17/05/2022 11:38:59,1652787539458,1,17/05/2022 12:38:59,86605,11,questionnaire-i9pw,,21932941,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),END QUESTIONNAIRE,12545
1,1652800924178,17/05/2022 15:22:04,1652800924072,1,17/05/2022 16:22:04,86605,11,questionnaire-i9pw,,21939313,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652800935486,17/05/2022 15:22:15,1652800935424,1,17/05/2022 16:22:15,86605,11,questionnaire-i9pw,,21939313,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_connection2,64
3,1652800935531,17/05/2022 15:22:15,1652800935425,1,17/05/2022 16:22:15,86605,11,questionnaire-i9pw,,21939313,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_established_rapport2,50
4,1652800935531,17/05/2022 15:22:15,1652800935425,1,17/05/2022 16:22:15,86605,11,questionnaire-i9pw,,21939313,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),Rapport_understanding2,54
5,1652800935531,17/05/2022 15:22:15,1652800935425,1,17/05/2022 16:22:15,86605,11,questionnaire-i9pw,,21939313,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),END QUESTIONNAIRE,11353
1,1652805695077,17/05/2022 16:41:35,1652805694972,1,17/05/2022 17:41:34,86605,11,questionnaire-i9pw,,21946043,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 2,5,Yes (except first),BEGIN QUESTIONNAIRE,
