Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652782263777,17/05/2022 10:11:03,1652782263682,1,17/05/2022 11:11:03,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,BEGIN QUESTIONNAIRE,
2,1652782277443,17/05/2022 10:11:17,1652782277372,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_friendly-3,5
3,1652782277495,17/05/2022 10:11:17,1652782277374,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_friendly-3-quantised,5
4,1652782277495,17/05/2022 10:11:17,1652782277374,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_similarity-3,5
5,1652782277495,17/05/2022 10:11:17,1652782277374,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_similarity-3-quantised,5
6,1652782277495,17/05/2022 10:11:17,1652782277374,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_attractiveness-3,2
7,1652782277495,17/05/2022 10:11:17,1652782277374,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_attractiveness-3-quantised,2
8,1652782277495,17/05/2022 10:11:17,1652782277374,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_art_knowledge-3,3
9,1652782277495,17/05/2022 10:11:17,1652782277374,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_art_knowledge-3-quantised,3
10,1652782277495,17/05/2022 10:11:17,1652782277374,1,17/05/2022 11:11:17,86605,11,questionnaire-omxu,,21931785,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 3,2,No,rating_competent-3,4
