Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652782283835,17/05/2022 10:11:23,1652782283678,1,17/05/2022 11:11:23,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,BEGIN QUESTIONNAIRE,
2,1652782315537,17/05/2022 10:11:55,1652782315466,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_art_exhibition,Visitor 2
3,1652782315587,17/05/2022 10:11:55,1652782315467,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_art_exhibition-quantised,2
4,1652782315587,17/05/2022 10:11:55,1652782315467,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_family_issue,Visitor 3
5,1652782315587,17/05/2022 10:11:55,1652782315467,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_family_issue-quantised,3
6,1652782315587,17/05/2022 10:11:55,1652782315468,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_pub,Visitor 2
7,1652782315587,17/05/2022 10:11:55,1652782315468,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_pub-quantised,2
8,1652782315587,17/05/2022 10:11:55,1652782315468,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_essay,Visitor 2
9,1652782315587,17/05/2022 10:11:55,1652782315468,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_essay-quantised,2
10,1652782315587,17/05/2022 10:11:55,1652782315468,1,17/05/2022 11:11:55,86605,11,questionnaire-qjpk,,21931791,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Binary q warmth & competence,3,No,liking_walk,Visitor 2
