Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652781348774,17/05/2022 09:55:48,1652781348679,1,17/05/2022 10:55:48,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652781381784,17/05/2022 09:56:21,1652781381730,1,17/05/2022 10:56:21,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),Affilitation_Hostility1,36
3,1652781381845,17/05/2022 09:56:21,1652781381731,1,17/05/2022 10:56:21,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),Affilitation_Gratitude1,80
4,1652781381845,17/05/2022 09:56:21,1652781381731,1,17/05/2022 10:56:21,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),Affilitation_Acceptance1,56
5,1652781381845,17/05/2022 09:56:21,1652781381731,1,17/05/2022 10:56:21,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),Affilitation_Sympathy1,43
6,1652781381845,17/05/2022 09:56:21,1652781381731,1,17/05/2022 10:56:21,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),Affilitation_Distrust1,0
7,1652781381845,17/05/2022 09:56:21,1652781381731,1,17/05/2022 10:56:21,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),Affilitation_Avoidance1,21
8,1652781381845,17/05/2022 09:56:21,1652781381731,1,17/05/2022 10:56:21,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),Affilitation_Generosity1,21
9,1652781381845,17/05/2022 09:56:21,1652781381731,1,17/05/2022 10:56:21,86605,11,questionnaire-qxva,,21931544,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),END QUESTIONNAIRE,33052
1,1652786948275,17/05/2022 11:29:08,1652786948189,1,17/05/2022 12:29:08,86605,11,questionnaire-qxva,,21932796,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Affiliation questions - 1,4,Yes (except first),BEGIN QUESTIONNAIRE,
