Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652781323877,17/05/2022 09:55:23,1652781323770,1,17/05/2022 10:55:23,86605,11,questionnaire-sacs,,21931537,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652781348032,17/05/2022 09:55:48,1652781347958,1,17/05/2022 10:55:47,86605,11,questionnaire-sacs,,21931537,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_established_rapport1,60
3,1652781348080,17/05/2022 09:55:48,1652781347959,1,17/05/2022 10:55:47,86605,11,questionnaire-sacs,,21931537,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_connection1,33
4,1652781348080,17/05/2022 09:55:48,1652781347959,1,17/05/2022 10:55:47,86605,11,questionnaire-sacs,,21931537,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_understanding1,40
5,1652781348080,17/05/2022 09:55:48,1652781347959,1,17/05/2022 10:55:47,86605,11,questionnaire-sacs,,21931537,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),END QUESTIONNAIRE,24189
1,1652786932779,17/05/2022 11:28:52,1652786932674,1,17/05/2022 12:28:52,86605,11,questionnaire-sacs,,21932793,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652786947351,17/05/2022 11:29:07,1652786947285,1,17/05/2022 12:29:07,86605,11,questionnaire-sacs,,21932793,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_connection1,50
3,1652786947437,17/05/2022 11:29:07,1652786947286,1,17/05/2022 12:29:07,86605,11,questionnaire-sacs,,21932793,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_established_rapport1,50
4,1652786947437,17/05/2022 11:29:07,1652786947287,1,17/05/2022 12:29:07,86605,11,questionnaire-sacs,,21932793,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_understanding1,30
5,1652786947437,17/05/2022 11:29:07,1652786947287,1,17/05/2022 12:29:07,86605,11,questionnaire-sacs,,21932793,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),END QUESTIONNAIRE,14613
1,1652800394643,17/05/2022 15:13:14,1652800394528,1,17/05/2022 16:13:14,86605,11,questionnaire-sacs,,21938601,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652800474607,17/05/2022 15:14:34,1652800474548,1,17/05/2022 16:14:34,86605,11,questionnaire-sacs,,21938601,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_connection1,83
3,1652800474682,17/05/2022 15:14:34,1652800474550,1,17/05/2022 16:14:34,86605,11,questionnaire-sacs,,21938601,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_understanding1,4
4,1652800474682,17/05/2022 15:14:34,1652800474550,1,17/05/2022 16:14:34,86605,11,questionnaire-sacs,,21938601,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_established_rapport1,56
5,1652800474682,17/05/2022 15:14:34,1652800474550,1,17/05/2022 16:14:34,86605,11,questionnaire-sacs,,21938601,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),END QUESTIONNAIRE,80022
1,1652805240087,17/05/2022 16:34:00,1652805239965,1,17/05/2022 17:33:59,86605,11,questionnaire-sacs,,21945798,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652805262926,17/05/2022 16:34:22,1652805262843,1,17/05/2022 17:34:22,86605,11,questionnaire-sacs,,21945798,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_connection1,27
3,1652805262971,17/05/2022 16:34:22,1652805262844,1,17/05/2022 17:34:22,86605,11,questionnaire-sacs,,21945798,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_established_rapport1,20
4,1652805262971,17/05/2022 16:34:22,1652805262844,1,17/05/2022 17:34:22,86605,11,questionnaire-sacs,,21945798,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_understanding1,20
5,1652805262971,17/05/2022 16:34:22,1652805262844,1,17/05/2022 17:34:22,86605,11,questionnaire-sacs,,21945798,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),END QUESTIONNAIRE,22879
1,1652865500383,18/05/2022 09:18:20,1652865500296,1,18/05/2022 10:18:20,86605,11,questionnaire-sacs,,21960726,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652865523244,18/05/2022 09:18:43,1652865523198,1,18/05/2022 10:18:43,86605,11,questionnaire-sacs,,21960726,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_established_rapport1,35
3,1652865523304,18/05/2022 09:18:43,1652865523200,1,18/05/2022 10:18:43,86605,11,questionnaire-sacs,,21960726,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_understanding1,35
4,1652865523304,18/05/2022 09:18:43,1652865523200,1,18/05/2022 10:18:43,86605,11,questionnaire-sacs,,21960726,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_connection1,25
5,1652865523304,18/05/2022 09:18:43,1652865523200,1,18/05/2022 10:18:43,86605,11,questionnaire-sacs,,21960726,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),END QUESTIONNAIRE,22904
1,1652871087915,18/05/2022 10:51:27,1652871087821,1,18/05/2022 11:51:27,86605,11,questionnaire-sacs,,21963397,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652871099648,18/05/2022 10:51:39,1652871099571,1,18/05/2022 11:51:39,86605,11,questionnaire-sacs,,21963397,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rapport ratings - 1,7,Yes (except first),Rapport_understanding1,34
