Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652782707216,17/05/2022 10:18:27,1652782707108,1,17/05/2022 11:18:27,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,BEGIN QUESTIONNAIRE,
2,1652782846567,17/05/2022 10:20:46,1652782846431,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_1,2
3,1652782846617,17/05/2022 10:20:46,1652782846433,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_1-quantised,2
4,1652782846617,17/05/2022 10:20:46,1652782846433,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_2,3
5,1652782846617,17/05/2022 10:20:46,1652782846433,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_2-quantised,3
6,1652782846617,17/05/2022 10:20:46,1652782846433,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_3,4
7,1652782846617,17/05/2022 10:20:46,1652782846433,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_3-quantised,4
8,1652782846617,17/05/2022 10:20:46,1652782846433,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_4,2
9,1652782846617,17/05/2022 10:20:46,1652782846433,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_4-quantised,2
10,1652782846617,17/05/2022 10:20:46,1652782846433,1,17/05/2022 11:20:46,86605,11,questionnaire-tgdr,,21931894,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,IRI,2,No,IRI_5,3
