Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652780659368,17/05/2022 09:44:19,1652780659282,1,17/05/2022 10:44:19,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,BEGIN QUESTIONNAIRE,
2,1652780678671,17/05/2022 09:44:38,1652780678627,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_friendly-0,4
3,1652780678713,17/05/2022 09:44:38,1652780678629,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_friendly-0-quantised,4
4,1652780678713,17/05/2022 09:44:38,1652780678629,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_similarity-0,3
5,1652780678713,17/05/2022 09:44:38,1652780678629,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_similarity-0-quantised,3
6,1652780678713,17/05/2022 09:44:38,1652780678629,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_attractiveness-0,3
7,1652780678713,17/05/2022 09:44:38,1652780678629,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_attractiveness-0-quantised,3
8,1652780678713,17/05/2022 09:44:38,1652780678629,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_art_knowledge-0,4
9,1652780678713,17/05/2022 09:44:38,1652780678629,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_art_knowledge-0-quantised,4
10,1652780678713,17/05/2022 09:44:38,1652780678629,1,17/05/2022 10:44:38,86605,11,questionnaire-vf6w,,21931406,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Lucile baseline,4,No,Lucile-rating_competent-0,4
