Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652780637173,17/05/2022 09:43:57,1652780637069,1,17/05/2022 10:43:57,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652780658630,17/05/2022 09:44:18,1652780658573,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_attractiveness-0,4
3,1652780658685,17/05/2022 09:44:18,1652780658575,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_attractiveness-0-quantised,4
4,1652780658685,17/05/2022 09:44:18,1652780658575,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_art_knowledge-0,3
5,1652780658685,17/05/2022 09:44:18,1652780658575,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_art_knowledge-0-quantised,3
6,1652780658685,17/05/2022 09:44:18,1652780658575,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_similarity-0,3
7,1652780658685,17/05/2022 09:44:18,1652780658575,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_similarity-0-quantised,3
8,1652780658685,17/05/2022 09:44:18,1652780658576,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_competent-0,4
9,1652780658685,17/05/2022 09:44:18,1652780658576,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_competent-0-quantised,4
10,1652780658685,17/05/2022 09:44:18,1652780658576,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_rational-0,4
11,1652780658685,17/05/2022 09:44:18,1652780658576,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_rational-0-quantised,4
12,1652780658685,17/05/2022 09:44:18,1652780658576,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_friendly-0,3
13,1652780658685,17/05/2022 09:44:18,1652780658576,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_friendly-0-quantised,3
14,1652780658685,17/05/2022 09:44:18,1652780658576,1,17/05/2022 10:44:18,86605,11,questionnaire-wvjl,,21931403,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),END QUESTIONNAIRE,21507
1,1652786197131,17/05/2022 11:16:37,1652786197011,1,17/05/2022 12:16:37,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652786225575,17/05/2022 11:17:05,1652786225489,1,17/05/2022 12:17:05,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_art_knowledge-0,3
3,1652786225637,17/05/2022 11:17:05,1652786225491,1,17/05/2022 12:17:05,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_art_knowledge-0-quantised,3
4,1652786225637,17/05/2022 11:17:05,1652786225491,1,17/05/2022 12:17:05,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_rational-0,4
5,1652786225637,17/05/2022 11:17:05,1652786225491,1,17/05/2022 12:17:05,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_rational-0-quantised,4
6,1652786225637,17/05/2022 11:17:05,1652786225491,1,17/05/2022 12:17:05,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_similarity-0,2
7,1652786225637,17/05/2022 11:17:05,1652786225491,1,17/05/2022 12:17:05,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_similarity-0-quantised,2
8,1652786225637,17/05/2022 11:17:05,1652786225491,1,17/05/2022 12:17:05,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_attractiveness-0,4
9,1652786225637,17/05/2022 11:17:05,1652786225491,1,17/05/2022 12:17:05,86605,11,questionnaire-wvjl,,21932650,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Maria baseline,6,Yes (except first),Maria-rating_attractiveness-0-quantised,4
