Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1652780596438,17/05/2022 09:43:16,1652780596327,1,17/05/2022 10:43:16,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652780636123,17/05/2022 09:43:56,1652780636063,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_rational-0,4
3,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_rational-0-quantised,4
4,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_art_knowledge-0,3
5,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_art_knowledge-0-quantised,3
6,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0,4
7,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0-quantised,4
8,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0,4
9,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0-quantised,4
10,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_attractiveness-0,3
11,1652780636165,17/05/2022 09:43:56,1652780636065,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_attractiveness-0-quantised,3
12,1652780636165,17/05/2022 09:43:56,1652780636066,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0,1
13,1652780636165,17/05/2022 09:43:56,1652780636066,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0-quantised,1
14,1652780636165,17/05/2022 09:43:56,1652780636066,1,17/05/2022 10:43:56,86605,11,questionnaire-zmp1,,21931394,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),END QUESTIONNAIRE,39739
1,1652786147367,17/05/2022 11:15:47,1652786147246,1,17/05/2022 12:15:47,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652786196276,17/05/2022 11:16:36,1652786196201,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_rational-0,4
3,1652786196334,17/05/2022 11:16:36,1652786196202,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_rational-0-quantised,4
4,1652786196334,17/05/2022 11:16:36,1652786196202,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0,2
5,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0-quantised,2
6,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0,2
7,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0-quantised,2
8,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_art_knowledge-0,3
9,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_art_knowledge-0-quantised,3
10,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0,5
11,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0-quantised,5
12,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_attractiveness-0,3
13,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_attractiveness-0-quantised,3
14,1652786196334,17/05/2022 11:16:36,1652786196203,1,17/05/2022 12:16:36,86605,11,questionnaire-zmp1,,21932636,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),END QUESTIONNAIRE,48957
1,1652799473655,17/05/2022 14:57:53,1652799473536,1,17/05/2022 15:57:53,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652799593536,17/05/2022 14:59:53,1652799592392,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_attractiveness-0,5
3,1652799594417,17/05/2022 14:59:54,1652799592393,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_attractiveness-0-quantised,5
4,1652799594417,17/05/2022 14:59:54,1652799592393,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0,4
5,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0-quantised,4
6,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_rational-0,5
7,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_rational-0-quantised,5
8,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_art_knowledge-0,4
9,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_art_knowledge-0-quantised,4
10,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0,5
11,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0-quantised,5
12,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0,6
13,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0-quantised,6
14,1652799594417,17/05/2022 14:59:54,1652799592394,1,17/05/2022 15:59:52,86605,11,questionnaire-zmp1,,21938064,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),END QUESTIONNAIRE,118858
1,1652804567484,17/05/2022 16:22:47,1652804567342,1,17/05/2022 17:22:47,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652804603797,17/05/2022 16:23:23,1652804603715,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0,5
3,1652804603845,17/05/2022 16:23:23,1652804603716,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0-quantised,5
4,1652804603845,17/05/2022 16:23:23,1652804603716,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_attractiveness-0,4
5,1652804603845,17/05/2022 16:23:23,1652804603716,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_attractiveness-0-quantised,4
6,1652804603845,17/05/2022 16:23:23,1652804603716,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_rational-0,4
7,1652804603845,17/05/2022 16:23:23,1652804603716,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_rational-0-quantised,4
8,1652804603845,17/05/2022 16:23:23,1652804603716,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0,4
9,1652804603845,17/05/2022 16:23:23,1652804603716,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0-quantised,4
10,1652804603845,17/05/2022 16:23:23,1652804603716,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0,2
11,1652804603845,17/05/2022 16:23:23,1652804603717,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0-quantised,2
12,1652804603845,17/05/2022 16:23:23,1652804603717,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_art_knowledge-0,4
13,1652804603845,17/05/2022 16:23:23,1652804603717,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_art_knowledge-0-quantised,4
14,1652804603845,17/05/2022 16:23:23,1652804603717,1,17/05/2022 17:23:23,86605,11,questionnaire-zmp1,,21945407,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),END QUESTIONNAIRE,36375
1,1652864609435,18/05/2022 09:03:29,1652864609352,1,18/05/2022 10:03:29,86605,11,questionnaire-zmp1,,21960253,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),BEGIN QUESTIONNAIRE,
2,1652864642794,18/05/2022 09:04:02,1652864642730,1,18/05/2022 10:04:02,86605,11,questionnaire-zmp1,,21960253,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0,5
3,1652864642862,18/05/2022 09:04:02,1652864642731,1,18/05/2022 10:04:02,86605,11,questionnaire-zmp1,,21960253,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_competent-0-quantised,5
4,1652864642862,18/05/2022 09:04:02,1652864642731,1,18/05/2022 10:04:02,86605,11,questionnaire-zmp1,,21960253,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0,5
5,1652864642862,18/05/2022 09:04:02,1652864642731,1,18/05/2022 10:04:02,86605,11,questionnaire-zmp1,,21960253,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_friendly-0-quantised,5
6,1652864642862,18/05/2022 09:04:02,1652864642731,1,18/05/2022 10:04:02,86605,11,questionnaire-zmp1,,21960253,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence - Amie baseline,4,Yes (except first),Amie-rating_similarity-0,3
