Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1652783136589,17/05/2022 10:25:36,1652783136469,1,17/05/2022 11:25:36,86605,11,task-36eo,,21931994,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652783140760,17/05/2022 10:25:40,1652783140667,1,17/05/2022 11:25:40,86605,11,task-36eo,,21931994,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4170,,,,,0,1,0,,,,,,The end
3,1652783140835,17/05/2022 10:25:40,1652783140670,1,17/05/2022 11:25:40,86605,11,task-36eo,,21931994,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,END TASK,,,,,4201,,,,,0,1,0,,,,,,
1,1652789252901,17/05/2022 12:07:32,1652789252822,1,17/05/2022 13:07:32,86605,11,task-36eo,,21933463,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652789255425,17/05/2022 12:07:35,1652789255382,1,17/05/2022 13:07:35,86605,11,task-36eo,,21933463,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2547,,,,,0,1,0,,,,,,The end
3,1652789255468,17/05/2022 12:07:35,1652789255385,1,17/05/2022 13:07:35,86605,11,task-36eo,,21933463,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,END TASK,,,,,2563,,,,,0,1,0,,,,,,
1,1652802582905,17/05/2022 15:49:42,1652802582819,1,17/05/2022 16:49:42,86605,11,task-36eo,,21943832,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652802585529,17/05/2022 15:49:45,1652802585462,1,17/05/2022 16:49:45,86605,11,task-36eo,,21943832,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2628,,,,,0,1,0,,,,,,The end
3,1652802585576,17/05/2022 15:49:45,1652802585464,1,17/05/2022 16:49:45,86605,11,task-36eo,,21943832,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,END TASK,,,,,2645,,,,,0,1,0,,,,,,
1,1652807233375,17/05/2022 17:07:13,1652807233252,1,17/05/2022 18:07:13,86605,11,task-36eo,,21946716,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652807238293,17/05/2022 17:07:18,1652807238211,1,17/05/2022 18:07:18,86605,11,task-36eo,,21946716,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4932,,,,,0,1,0,,,,,,The end
3,1652807238356,17/05/2022 17:07:18,1652807238214,1,17/05/2022 18:07:18,86605,11,task-36eo,,21946716,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,END TASK,,,,,4962,,,,,0,1,0,,,,,,
1,1652867320631,18/05/2022 09:48:40,1652867320552,1,18/05/2022 10:48:40,86605,11,task-36eo,,21962049,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652867322507,18/05/2022 09:48:42,1652867322459,1,18/05/2022 10:48:42,86605,11,task-36eo,,21962049,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1885,,,,,0,1,0,,,,,,The end
3,1652867322584,18/05/2022 09:48:42,1652867322461,1,18/05/2022 10:48:42,86605,11,task-36eo,,21962049,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,END TASK,,,,,1909,,,,,0,1,0,,,,,,
1,1652872949837,18/05/2022 11:22:29,1652872949691,1,18/05/2022 12:22:29,86605,11,task-36eo,,21964155,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652872951211,18/05/2022 11:22:31,1652872951093,1,18/05/2022 12:22:31,86605,11,task-36eo,,21964155,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1387,,,,,0,1,0,,,,,,The end
3,1652872951271,18/05/2022 11:22:31,1652872951096,1,18/05/2022 12:22:31,86605,11,task-36eo,,21964155,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,END TASK,,,,,1405,,,,,0,1,0,,,,,,
1,1652890960460,18/05/2022 16:22:40,1652890960378,1,18/05/2022 17:22:40,86605,11,task-36eo,,21970964,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652890962656,18/05/2022 16:22:42,1652890962595,1,18/05/2022 17:22:42,86605,11,task-36eo,,21970964,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,The end,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2194,,,,,0,1,0,,,,,,The end
