Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,picture1,picture2,picture3,picture4,picture5,picture6,picture7
1,1652781851307,17/05/2022 10:04:11,1652781851233,1,17/05/2022 11:04:11,86605,11,task-4n1r,,21931684,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652781859645,17/05/2022 10:04:19,1652781859567,1,17/05/2022 11:04:19,86605,11,task-4n1r,,21931684,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonD,response_button_image,8071.000000000002,,,4.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652781859701,17/05/2022 10:04:19,1652781859570,1,17/05/2022 11:04:19,86605,11,task-4n1r,,21931684,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,,,END TASK,,,,,8337,,,,,0,1,0,,,,,,,,,,,,,,
1,1652787589200,17/05/2022 11:39:49,1652787589117,1,17/05/2022 12:39:49,86605,11,task-4n1r,,21932962,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652787595345,17/05/2022 11:39:55,1652787595288,1,17/05/2022 12:39:55,86605,11,task-4n1r,,21932962,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonD,response_button_image,6135,,,4.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652787595397,17/05/2022 11:39:55,1652787595291,1,17/05/2022 12:39:55,86605,11,task-4n1r,,21932962,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,,,END TASK,,,,,6174,,,,,0,1,0,,,,,,,,,,,,,,
1,1652800976929,17/05/2022 15:22:56,1652800976835,1,17/05/2022 16:22:56,86605,11,task-4n1r,,21939420,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652800990440,17/05/2022 15:23:10,1652800990381,1,17/05/2022 16:23:10,86605,11,task-4n1r,,21939420,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonD,response_button_image,13329,,,4.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652800990481,17/05/2022 15:23:10,1652800990384,1,17/05/2022 16:23:10,86605,11,task-4n1r,,21939420,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,,,END TASK,,,,,13549,,,,,0,1,0,,,,,,,,,,,,,,
1,1652805772236,17/05/2022 16:42:52,1652805772131,1,17/05/2022 17:42:52,86605,11,task-4n1r,,21946073,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-2,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
