Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,picture1,picture2,picture3,picture4,picture5,picture6,picture7
1,1652781401799,17/05/2022 09:56:41,1652781401718,1,17/05/2022 10:56:41,86605,11,task-fj2g,,21931553,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652781418478,17/05/2022 09:56:58,1652781418413,1,17/05/2022 10:56:58,86605,11,task-fj2g,,21931553,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_image,16424,,,1.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652781418533,17/05/2022 09:56:58,1652781418416,1,17/05/2022 10:56:58,86605,11,task-fj2g,,21931553,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,END TASK,,,,,16698,,,,,0,1,0,,,,,,,,,,,,,,
1,1652787144867,17/05/2022 11:32:24,1652787144767,1,17/05/2022 12:32:24,86605,11,task-fj2g,,21932855,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652787169398,17/05/2022 11:32:49,1652787169336,1,17/05/2022 12:32:49,86605,11,task-fj2g,,21932855,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_image,24521,,,2.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652787169449,17/05/2022 11:32:49,1652787169339,1,17/05/2022 12:32:49,86605,11,task-fj2g,,21932855,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,END TASK,,,,,24573,,,,,0,1,0,,,,,,,,,,,,,,
1,1652800529939,17/05/2022 15:15:29,1652800529857,1,17/05/2022 16:15:29,86605,11,task-fj2g,,21938741,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652800544156,17/05/2022 15:15:44,1652800544097,1,17/05/2022 16:15:44,86605,11,task-fj2g,,21938741,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_image,13999,,,2.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652800544217,17/05/2022 15:15:44,1652800544100,1,17/05/2022 16:15:44,86605,11,task-fj2g,,21938741,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,END TASK,,,,,14243,,,,,0,1,0,,,,,,,,,,,,,,
1,1652805327341,17/05/2022 16:35:27,1652805327218,1,17/05/2022 17:35:27,86605,11,task-fj2g,,21945871,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652805333127,17/05/2022 16:35:33,1652805333033,1,17/05/2022 17:35:33,86605,11,task-fj2g,,21945871,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_image,5769,,,1.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652805333185,17/05/2022 16:35:33,1652805333036,1,17/05/2022 17:35:33,86605,11,task-fj2g,,21945871,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,END TASK,,,,,5818,,,,,0,1,0,,,,,,,,,,,,,,
1,1652865592970,18/05/2022 09:19:52,1652865592861,1,18/05/2022 10:19:52,86605,11,task-fj2g,,21960785,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652865601015,18/05/2022 09:20:01,1652865600962,1,18/05/2022 10:20:00,86605,11,task-fj2g,,21960785,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonC,response_button_image,8000,,,3.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652865601100,18/05/2022 09:20:01,1652865600965,1,18/05/2022 10:20:00,86605,11,task-fj2g,,21960785,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,END TASK,,,,,8105,,,,,0,1,0,,,,,,,,,,,,,,
1,1652871149879,18/05/2022 10:52:29,1652871149747,1,18/05/2022 11:52:29,86605,11,task-fj2g,,21963421,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652871158713,18/05/2022 10:52:38,1652871158641,1,18/05/2022 11:52:38,86605,11,task-fj2g,,21963421,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_image,8800,,,1.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652871158769,18/05/2022 10:52:38,1652871158644,1,18/05/2022 11:52:38,86605,11,task-fj2g,,21963421,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,END TASK,,,,,8897,,,,,0,1,0,,,,,,,,,,,,,,
1,1652889283626,18/05/2022 15:54:43,1652889283519,1,18/05/2022 16:54:43,86605,11,task-fj2g,,21970557,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652889294597,18/05/2022 15:54:54,1652889294567,1,18/05/2022 16:54:54,86605,11,task-fj2g,,21970557,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonD,response_button_image,11011,,,4.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652889294661,18/05/2022 15:54:54,1652889294569,1,18/05/2022 16:54:54,86605,11,task-fj2g,,21970557,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-1,4,Spreadsheet1,,,END TASK,,,,,11050,,,,,0,1,0,,,,,,,,,,,,,,
END OF FILE
