Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,picture1,picture2,picture3,picture4,picture5,picture6,picture7
1,1652782278129,17/05/2022 10:11:18,1652782278036,1,17/05/2022 11:11:18,86605,11,task-ow85,,21931789,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652782283091,17/05/2022 10:11:23,1652782283011,1,17/05/2022 11:11:23,86605,11,task-ow85,,21931789,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_image,4724,,,2.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652782283152,17/05/2022 10:11:23,1652782283013,1,17/05/2022 11:11:23,86605,11,task-ow85,,21931789,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,END TASK,,,,,4977,,,,,0,1,0,,,,,,,,,,,,,,
1,1652788033627,17/05/2022 11:47:13,1652788033524,1,17/05/2022 12:47:13,86605,11,task-ow85,,21933099,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652788037938,17/05/2022 11:47:17,1652788037893,1,17/05/2022 12:47:17,86605,11,task-ow85,,21933099,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_image,4341,,,2.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652788037994,17/05/2022 11:47:17,1652788037896,1,17/05/2022 12:47:17,86605,11,task-ow85,,21933099,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,END TASK,,,,,4372,,,,,0,1,0,,,,,,,,,,,,,,
1,1652801418429,17/05/2022 15:30:18,1652801418344,1,17/05/2022 16:30:18,86605,11,task-ow85,,21940893,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652801424478,17/05/2022 15:30:24,1652801424415,1,17/05/2022 16:30:24,86605,11,task-ow85,,21940893,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_image,5983,,,1.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652801424529,17/05/2022 15:30:24,1652801424418,1,17/05/2022 16:30:24,86605,11,task-ow85,,21940893,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,END TASK,,,,,6074,,,,,0,1,0,,,,,,,,,,,,,,
1,1652806194109,17/05/2022 16:49:54,1652806193997,1,17/05/2022 17:49:53,86605,11,task-ow85,,21946304,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652806196737,17/05/2022 16:49:56,1652806196654,1,17/05/2022 17:49:56,86605,11,task-ow85,,21946304,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonF,response_button_image,2608,,,7.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652806196820,17/05/2022 16:49:56,1652806196657,1,17/05/2022 17:49:56,86605,11,task-ow85,,21946304,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,END TASK,,,,,2660,,,,,0,1,0,,,,,,,,,,,,,,
1,1652866492386,18/05/2022 09:34:52,1652866492288,1,18/05/2022 10:34:52,86605,11,task-ow85,,21961565,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652866496629,18/05/2022 09:34:56,1652866496564,1,18/05/2022 10:34:56,86605,11,task-ow85,,21961565,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonD,response_button_image,4200,,,4.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652866496685,18/05/2022 09:34:56,1652866496567,1,18/05/2022 10:34:56,86605,11,task-ow85,,21961565,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,END TASK,,,,,4279,,,,,0,1,0,,,,,,,,,,,,,,
1,1652872001882,18/05/2022 11:06:41,1652872001748,1,18/05/2022 12:06:41,86605,11,task-ow85,,21963782,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652872022704,18/05/2022 11:07:02,1652872022611,1,18/05/2022 12:07:02,86605,11,task-ow85,,21963782,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_image,20796,,,2.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652872022735,18/05/2022 11:07:02,1652872022613,1,18/05/2022 12:07:02,86605,11,task-ow85,,21963782,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,END TASK,,,,,20865,,,,,0,1,0,,,,,,,,,,,,,,
1,1652890100083,18/05/2022 16:08:20,1652890099988,1,18/05/2022 17:08:19,86605,11,task-ow85,,21970763,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
2,1652890111267,18/05/2022 16:08:31,1652890111216,1,18/05/2022 17:08:31,86605,11,task-ow85,,21970763,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonC,response_button_image,11184,,,3.png,1,0,1,0,,,,,,Instructions,,1.png,2.png,3.png,4.png,5.png,6.png,7.png
3,1652890111314,18/05/2022 16:08:31,1652890111218,1,18/05/2022 17:08:31,86605,11,task-ow85,,21970763,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Closeness-3,5,Spreadsheet1,,,END TASK,,,,,11230,,,,,0,1,0,,,,,,,,,,,,,,
END OF FILE
