Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1652781419154,17/05/2022 09:56:59,1652781419063,1,17/05/2022 10:56:59,86605,11,task-pfyd,,21931558,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652781786476,17/05/2022 10:03:06,1652781786358,1,17/05/2022 11:03:06,86605,11,task-pfyd,,21931558,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,367268,,,,,0,1,0,,,,,,Intro 2
3,1652781786538,17/05/2022 10:03:06,1652781786361,1,17/05/2022 11:03:06,86605,11,task-pfyd,,21931558,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,,,END TASK,,,,,367298,,,,,0,1,0,,,,,,
1,1652787170788,17/05/2022 11:32:50,1652787170676,1,17/05/2022 12:32:50,86605,11,task-pfyd,,21932857,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652787173527,17/05/2022 11:32:53,1652787173454,1,17/05/2022 12:32:53,86605,11,task-pfyd,,21932857,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,2744,,,,,0,1,0,,,,,,Intro 2
3,1652787173571,17/05/2022 11:32:53,1652787173456,1,17/05/2022 12:32:53,86605,11,task-pfyd,,21932857,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,,,END TASK,,,,,2780,,,,,0,1,0,,,,,,
1,1652800544869,17/05/2022 15:15:44,1652800544772,1,17/05/2022 16:15:44,86605,11,task-pfyd,,21938760,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652800917025,17/05/2022 15:21:57,1652800916931,1,17/05/2022 16:21:56,86605,11,task-pfyd,,21938760,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,372119,,,,,0,1,0,,,,,,Intro 2
3,1652800917083,17/05/2022 15:21:57,1652800916934,1,17/05/2022 16:21:56,86605,11,task-pfyd,,21938760,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,,,END TASK,,,,,372162,,,,,0,1,0,,,,,,
1,1652805333837,17/05/2022 16:35:33,1652805333712,1,17/05/2022 17:35:33,86605,11,task-pfyd,,21945879,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652805688209,17/05/2022 16:41:28,1652805688072,1,17/05/2022 17:41:28,86605,11,task-pfyd,,21945879,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 2nd visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,183307,,,,,0,1,0,,,,,,Intro 2
