Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1652780516555,17/05/2022 09:41:56,1652780516446,1,17/05/2022 10:41:56,86605,11,task-s61q,,21931365,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1652780523758,17/05/2022 09:42:03,1652780523700,1,17/05/2022 10:42:03,86605,11,task-s61q,,21931365,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,7215,,,,,0,1,0,,,,,,Instructions,
3,1652780531143,17/05/2022 09:42:11,1652780531074,1,17/05/2022 10:42:11,86605,11,task-s61q,,21931365,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,2,Screen 3,advancementZone,continue_button,7366,,,,,0,1,0,,,,,,Instructions,
4,1652780552124,17/05/2022 09:42:32,1652780552081,1,17/05/2022 10:42:32,86605,11,task-s61q,,21931365,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,3,Screen 4,advancementZone,response_button_text,20995,,,Take a screenshot,1,0,1,0,,,,,,Instructions,
5,1652780556286,17/05/2022 09:42:36,1652780556216,1,17/05/2022 10:42:36,86605,11,task-s61q,,21931365,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,4,Screen 5,advancementZone,continue_button,4130,,,,,0,1,0,,,,,,Instructions,
6,1652780556324,17/05/2022 09:42:36,1652780556219,1,17/05/2022 10:42:36,86605,11,task-s61q,,21931365,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,END TASK,,,,,39773,,,,,0,1,0,,,,,,,
1,1652785980872,17/05/2022 11:13:00,1652785980752,1,17/05/2022 12:13:00,86605,11,task-s61q,,21932594,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1652785996303,17/05/2022 11:13:16,1652785996243,1,17/05/2022 12:13:16,86605,11,task-s61q,,21932594,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,15462,,,,,0,1,0,,,,,,Instructions,
3,1652786012536,17/05/2022 11:13:32,1652786012458,1,17/05/2022 12:13:32,86605,11,task-s61q,,21932594,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,2,Screen 3,advancementZone,continue_button,16209,,,,,0,1,0,,,,,,Instructions,
4,1652786028003,17/05/2022 11:13:48,1652786027910,1,17/05/2022 12:13:47,86605,11,task-s61q,,21932594,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,3,Screen 4,advancementZone,response_button_text,15444.000000000007,,,Take a screenshot,1,0,1,0,,,,,,Instructions,
5,1652786066935,17/05/2022 11:14:26,1652786066868,1,17/05/2022 12:14:26,86605,11,task-s61q,,21932594,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,4,Screen 5,advancementZone,continue_button,38952,,,,,0,1,0,,,,,,Instructions,
