Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1652781860360,17/05/2022 10:04:20,1652781860256,1,17/05/2022 11:04:20,86605,11,task-svpk,,21931685,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652782219717,17/05/2022 10:10:19,1652782219562,1,17/05/2022 11:10:19,86605,11,task-svpk,,21931685,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,359287,,,,,0,1,0,,,,,,Intro 2
3,1652782219767,17/05/2022 10:10:19,1652782219565,1,17/05/2022 11:10:19,86605,11,task-svpk,,21931685,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,END TASK,,,,,359309,,,,,0,1,0,,,,,,
1,1652787596054,17/05/2022 11:39:56,1652787595948,1,17/05/2022 12:39:55,86605,11,task-svpk,,21932965,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652787944127,17/05/2022 11:45:44,1652787944005,1,17/05/2022 12:45:44,86605,11,task-svpk,,21932965,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,348023,,,,,0,1,0,,,,,,Intro 2
3,1652787944191,17/05/2022 11:45:44,1652787944012,1,17/05/2022 12:45:44,86605,11,task-svpk,,21932965,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,END TASK,,,,,348064,,,,,0,1,0,,,,,,
1,1652800991188,17/05/2022 15:23:11,1652800991105,1,17/05/2022 16:23:11,86605,11,task-svpk,,21939466,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652801344674,17/05/2022 15:29:04,1652801344554,1,17/05/2022 16:29:04,86605,11,task-svpk,,21939466,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,276952.00000000006,,,,,0,1,0,,,,,,Intro 2
3,1652801344717,17/05/2022 15:29:04,1652801344557,1,17/05/2022 16:29:04,86605,11,task-svpk,,21939466,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,END TASK,,,,,353452,,,,,0,1,0,,,,,,
1,1652805783609,17/05/2022 16:43:03,1652805783485,1,17/05/2022 17:43:03,86605,11,task-svpk,,21946077,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652806130823,17/05/2022 16:48:50,1652806130701,1,17/05/2022 17:48:50,86605,11,task-svpk,,21946077,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,282632,,,,,0,1,0,,,,,,Intro 2
3,1652806130888,17/05/2022 16:48:50,1652806130706,1,17/05/2022 17:48:50,86605,11,task-svpk,,21946077,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,END TASK,,,,,347220,,,,,0,1,0,,,,,,
1,1652866061859,18/05/2022 09:27:41,1652866061748,1,18/05/2022 10:27:41,86605,11,task-svpk,,21961158,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652866417917,18/05/2022 09:33:37,1652866417796,1,18/05/2022 10:33:37,86605,11,task-svpk,,21961158,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,356020,,,,,0,1,0,,,,,,Intro 2
3,1652866417978,18/05/2022 09:33:37,1652866417800,1,18/05/2022 10:33:37,86605,11,task-svpk,,21961158,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,END TASK,,,,,356052,,,,,0,1,0,,,,,,
1,1652871556287,18/05/2022 10:59:16,1652871556160,1,18/05/2022 11:59:16,86605,11,task-svpk,,21963618,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652871953623,18/05/2022 11:05:53,1652871953547,1,18/05/2022 12:05:53,86605,11,task-svpk,,21963618,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,55186,,,,,0,1,0,,,,,,Intro 2
3,1652871953706,18/05/2022 11:05:53,1652871953550,1,18/05/2022 12:05:53,86605,11,task-svpk,,21963618,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,END TASK,,,,,397390,,,,,0,1,0,,,,,,
1,1652889683462,18/05/2022 16:01:23,1652889683367,1,18/05/2022 17:01:23,86605,11,task-svpk,,21970667,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652890049671,18/05/2022 16:07:29,1652890049550,1,18/05/2022 17:07:29,86605,11,task-svpk,,21970667,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,115656,,,,,0,1,0,,,,,,Intro 2
3,1652890049739,18/05/2022 16:07:29,1652890049557,1,18/05/2022 17:07:29,86605,11,task-svpk,,21970667,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Before the 3rd visitor,4,Spreadsheet1,,,END TASK,,,,,366190,,,,,0,1,0,,,,,,
END OF FILE
