"","Event_Index","UTC_Timestamp","UTC_Date","Local_Timestamp","Local_Timezone","Local_Date","Experiment_ID","Experiment_Version","Tree_Node_Key","Repeat_Key","Schedule_ID","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","Checkpoint","Task_Name","Task_Version","Randomise_questionnaire_elements?","Question_Key","Response"
"1","1","1654619846327","07/06/2022 16:37:26","1654619846231","1","07/06/2022 17:37:26","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","BEGIN QUESTIONNAIRE",NA
"2","2","1654619875305","07/06/2022 16:37:55","1654619875238","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","Sex","Female"
"3","3","1654619875379","07/06/2022 16:37:55","1654619875240","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","Sex-quantised","1"
"4","4","1654619875379","07/06/2022 16:37:55","1654619875240","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","Sex-text",NA
"5","5","1654619875379","07/06/2022 16:37:55","1654619875240","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","age","29"
"6","6","1654619875379","07/06/2022 16:37:55","1654619875240","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","Education","Post-graduate degree"
"7","7","1654619875379","07/06/2022 16:37:55","1654619875240","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","Education-quantised","5"
"8","8","1654619875379","07/06/2022 16:37:55","1654619875240","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","Ethnicity","White"
"9","9","1654619875379","07/06/2022 16:37:55","1654619875240","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","Ethnicity-quantised","1"
"10","10","1654619875379","07/06/2022 16:37:55","1654619875240","1","07/06/2022 17:37:55","86605","12","questionnaire-cppy",NA,"22343143","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Demographics","5","No","Ethnicity-text",NA
