"","Event_Index","UTC_Timestamp","UTC_Date","Local_Timestamp","Local_Timezone","Local_Date","Experiment_ID","Experiment_Version","Tree_Node_Key","Repeat_Key","Schedule_ID","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","Checkpoint","Task_Name","Task_Version","Randomise_questionnaire_elements?","Question_Key","Response"
"1","1","1654621331303","07/06/2022 17:02:11","1654621331212","1","07/06/2022 18:02:11","86605","12","questionnaire-5q1d",NA,"22343914","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","BEGIN QUESTIONNAIRE",NA
"2","2","1654621338838","07/06/2022 17:02:18","1654621338757","1","07/06/2022 18:02:18","86605","12","questionnaire-5q1d",NA,"22343914","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","Rapport_understanding3","45"
"3","3","1654621338866","07/06/2022 17:02:18","1654621338758","1","07/06/2022 18:02:18","86605","12","questionnaire-5q1d",NA,"22343914","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","Rapport_connection3","44"
"4","4","1654621338866","07/06/2022 17:02:18","1654621338758","1","07/06/2022 18:02:18","86605","12","questionnaire-5q1d",NA,"22343914","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","Rapport_established_rapport3","42"
"5","5","1654621338866","07/06/2022 17:02:18","1654621338758","1","07/06/2022 18:02:18","86605","12","questionnaire-5q1d",NA,"22343914","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","END QUESTIONNAIRE","7546"
"6","END OF FILE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","1654600364936","07/06/2022 11:12:44","1654600364836","1","07/06/2022 12:12:44","86605","12","questionnaire-5q1d",NA,"22331837","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","BEGIN QUESTIONNAIRE",NA
"8","2","1654600372460","07/06/2022 11:12:52","1654600372413","1","07/06/2022 12:12:52","86605","12","questionnaire-5q1d",NA,"22331837","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","Rapport_understanding3","42"
"9","3","1654600372534","07/06/2022 11:12:52","1654600372415","1","07/06/2022 12:12:52","86605","12","questionnaire-5q1d",NA,"22331837","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","Rapport_established_rapport3","34"
"10","4","1654600372534","07/06/2022 11:12:52","1654600372415","1","07/06/2022 12:12:52","86605","12","questionnaire-5q1d",NA,"22331837","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rapport ratings - 3","4","Yes (except first)","Rapport_connection3","25"
