"","id","block","Type_of_question","mean_r","confed_name","mean_r_base","change_in_rating","type"
"1","0latiljl","first","competence",4.66666666666667,"M",4,0.666666666666667,"choice"
"2","0latiljl","first","warmth",5,"M",4,1,"choice"
"3","0latiljl","second","competence",5,"L",5,0,"motor"
"4","0latiljl","second","warmth",4.33333333333333,"L",4,0.333333333333333,"motor"
"5","0latiljl","third","competence",5,"A",5,0,"control"
"6","0latiljl","third","warmth",4.66666666666667,"A",4.33333333333333,0.333333333333334,"control"
"7","10gyt4yw","first","competence",4.33333333333333,"M",4.33333333333333,0,"motor"
"8","10gyt4yw","first","warmth",3.66666666666667,"M",3.66666666666667,0,"motor"
"9","10gyt4yw","second","competence",4.66666666666667,"L",4.66666666666667,0,"choice"
"10","10gyt4yw","second","warmth",4,"L",4,0,"choice"
"11","10gyt4yw","third","competence",5,"A",3.66666666666667,1.33333333333333,"control"
"12","10gyt4yw","third","warmth",4.33333333333333,"A",3,1.33333333333333,"control"
"13","1tta9k0e","first","competence",4,"M",4,0,"motor"
"14","1tta9k0e","first","warmth",3,"M",2.66666666666667,0.333333333333333,"motor"
"15","1tta9k0e","second","competence",4.33333333333333,"L",3.33333333333333,1,"choice"
"16","1tta9k0e","second","warmth",2.33333333333333,"L",2,0.333333333333333,"choice"
"17","1tta9k0e","third","competence",3.66666666666667,"A",3.66666666666667,0,"control"
"18","1tta9k0e","third","warmth",3,"A",1.66666666666667,1.33333333333333,"control"
"19","20ncbce2","first","competence",4.66666666666667,"L",4.66666666666667,0,"motor"
"20","20ncbce2","first","warmth",4.33333333333333,"L",3.33333333333333,1,"motor"
"21","20ncbce2","second","competence",4.33333333333333,"A",3.33333333333333,1,"choice"
"22","20ncbce2","second","warmth",5,"A",2.66666666666667,2.33333333333333,"choice"
"23","20ncbce2","third","competence",4.33333333333333,"M",4.66666666666667,-0.333333333333334,"control"
"24","20ncbce2","third","warmth",4,"M",3.66666666666667,0.333333333333333,"control"
"25","2nov5ul3","first","competence",2.33333333333333,"M",3.66666666666667,-1.33333333333333,"choice"
"26","2nov5ul3","first","warmth",5,"M",4.33333333333333,0.666666666666667,"choice"
"27","2nov5ul3","second","competence",4,"L",4.33333333333333,-0.333333333333333,"motor"
"28","2nov5ul3","second","warmth",3.33333333333333,"L",4,-0.666666666666667,"motor"
"29","2nov5ul3","third","competence",3,"A",3.33333333333333,-0.333333333333333,"control"
"30","2nov5ul3","third","warmth",4.33333333333333,"A",3.33333333333333,1,"control"
"31","49puxoj7","first","competence",3.66666666666667,"M",3.66666666666667,0,"choice"
"32","49puxoj7","first","warmth",3.66666666666667,"M",3,0.666666666666667,"choice"
"33","49puxoj7","second","competence",3.66666666666667,"L",3.66666666666667,0,"motor"
"34","49puxoj7","second","warmth",2.66666666666667,"L",2.33333333333333,0.333333333333333,"motor"
"35","49puxoj7","third","competence",3,"A",3.66666666666667,-0.666666666666667,"control"
"36","49puxoj7","third","warmth",3.66666666666667,"A",2.33333333333333,1.33333333333333,"control"
"37","4swlxwke","first","competence",4.33333333333333,"L",4.33333333333333,0,"choice"
"38","4swlxwke","first","warmth",5,"L",4.33333333333333,0.666666666666667,"choice"
"39","4swlxwke","second","competence",3.33333333333333,"A",3.66666666666667,-0.333333333333333,"motor"
"40","4swlxwke","second","warmth",3.66666666666667,"A",3.66666666666667,0,"motor"
