"","Event_Index","UTC_Timestamp","UTC_Date","Local_Timestamp","Local_Timezone","Local_Date","Experiment_ID","Experiment_Version","Tree_Node_Key","Repeat_Key","Schedule_ID","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","Checkpoint","Task_Name","Task_Version","Randomise_questionnaire_elements?","Question_Key","Response","id"
"1","1","1654620548259","07/06/2022 16:49:08","1654620548045","1","07/06/2022 17:49:08","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","BEGIN QUESTIONNAIRE",NA,"ucjf5it7"
"2","2","1654620562232","07/06/2022 16:49:22","1654620562168","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1","5","ucjf5it7"
"3","3","1654620562272","07/06/2022 16:49:22","1654620562169","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1-quantised","5","ucjf5it7"
"4","4","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1","4","ucjf5it7"
"5","5","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1-quantised","4","ucjf5it7"
"6","6","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1","4","ucjf5it7"
"7","7","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1-quantised","4","ucjf5it7"
"8","8","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1","4","ucjf5it7"
"9","9","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1-quantised","4","ucjf5it7"
"10","10","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1","4","ucjf5it7"
"11","11","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1-quantised","4","ucjf5it7"
"12","12","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1","5","ucjf5it7"
"13","13","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1-quantised","5","ucjf5it7"
"14","14","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","END QUESTIONNAIRE","14125","ucjf5it7"
"15","1","1654599447321","07/06/2022 10:57:27","1654599447239","1","07/06/2022 11:57:27","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","BEGIN QUESTIONNAIRE",NA,"x15hufum"
"16","2","1654599463445","07/06/2022 10:57:43","1654599463382","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1","5","x15hufum"
"17","3","1654599463500","07/06/2022 10:57:43","1654599463383","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1-quantised","5","x15hufum"
"18","4","1654599463500","07/06/2022 10:57:43","1654599463383","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1","2","x15hufum"
"19","5","1654599463500","07/06/2022 10:57:43","1654599463383","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1-quantised","2","x15hufum"
"20","6","1654599463500","07/06/2022 10:57:43","1654599463383","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1","5","x15hufum"
"21","7","1654599463500","07/06/2022 10:57:43","1654599463384","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1-quantised","5","x15hufum"
"22","8","1654599463500","07/06/2022 10:57:43","1654599463384","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1","3","x15hufum"
"23","9","1654599463500","07/06/2022 10:57:43","1654599463384","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1-quantised","3","x15hufum"
"24","10","1654599463500","07/06/2022 10:57:43","1654599463384","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1","5","x15hufum"
"25","11","1654599463500","07/06/2022 10:57:43","1654599463384","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1-quantised","5","x15hufum"
"26","12","1654599463500","07/06/2022 10:57:43","1654599463384","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1","4","x15hufum"
"27","13","1654599463500","07/06/2022 10:57:43","1654599463384","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1-quantised","4","x15hufum"
