"","Event_Index","UTC_Timestamp","UTC_Date","Local_Timestamp","Local_Timezone","Local_Date","Experiment_ID","Experiment_Version","Tree_Node_Key","Repeat_Key","Schedule_ID","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","Checkpoint","Task_Name","Task_Version","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","Correct","Incorrect","Dishonest","X_Coordinate","Y_Coordinate","Timed_Out","randomise_blocks","randomise_trials","display","ANSWER","picture1","picture2","picture3","picture4","picture5","picture6","picture7","Hint","wideo1","wideo2","Picture","Hint_picture1","Hint_picture2","Doors_picture","answear","id"
"1","1","1654622184761","07/06/2022 17:16:24","1654622184670","1","07/06/2022 18:16:24","86605","12","task-36eo",NA,"22344290","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1",NA,NA,"BEGIN TASK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ucjf5it7"
"2","2","1654622189751","07/06/2022 17:16:29","1654622189696","1","07/06/2022 18:16:29","86605","12","task-36eo",NA,"22344290","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1","Spreadsheet1","1","1","1","Screen 1","advancementZone","continue_button","5002",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,"The end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ucjf5it7"
"3","3","1654622189832","07/06/2022 17:16:29","1654622189698","1","07/06/2022 18:16:29","86605","12","task-36eo",NA,"22344290","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1",NA,NA,"END TASK",NA,NA,NA,NA,"5028",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ucjf5it7"
"4","1","1654601030584","07/06/2022 11:23:50","1654601030496","1","07/06/2022 12:23:50","86605","12","task-36eo",NA,"22332358","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1",NA,NA,"BEGIN TASK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x15hufum"
"5","2","1654601032101","07/06/2022 11:23:52","1654601032037","1","07/06/2022 12:23:52","86605","12","task-36eo",NA,"22332358","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1","Spreadsheet1","1","1","1","Screen 1","advancementZone","continue_button","1526",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,"The end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x15hufum"
"6","3","1654601032149","07/06/2022 11:23:52","1654601032039","1","07/06/2022 12:23:52","86605","12","task-36eo",NA,"22332358","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1",NA,NA,"END TASK",NA,NA,NA,NA,"1543",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x15hufum"
"7","1","1654606049754","07/06/2022 12:47:29","1654606049634","1","07/06/2022 13:47:29","86605","12","task-36eo",NA,"22335294","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1",NA,NA,"BEGIN TASK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wopxcyrw"
"8","2","1654606054569","07/06/2022 12:47:34","1654606054485","1","07/06/2022 13:47:34","86605","12","task-36eo",NA,"22335294","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1","Spreadsheet1","1","1","1","Screen 1","advancementZone","continue_button","4826",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,"The end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wopxcyrw"
"9","3","1654606054632","07/06/2022 12:47:34","1654606054488","1","07/06/2022 13:47:34","86605","12","task-36eo",NA,"22335294","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1",NA,NA,"END TASK",NA,NA,NA,NA,"4854",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wopxcyrw"
"10","1","1654611773699","07/06/2022 14:22:53","1654611773556","1","07/06/2022 15:22:53","86605","12","task-36eo",NA,"22337717","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"The end","2","Spreadsheet1",NA,NA,"BEGIN TASK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wyly5896"
