"","id","question","block","response","Type_of_question","Mimicker"
"1","ucjf5it7","Rapport_understanding","third",45,"understanding","control"
"2","ucjf5it7","Rapport_connection","third",44,"connection","control"
"3","ucjf5it7","Rapport_established_rapport","third",42,"established","control"
"4","u4ckj0xb","Rapport_understanding","third",65,"understanding","control"
"5","u4ckj0xb","Rapport_established_rapport","third",65,"established","control"
"6","u4ckj0xb","Rapport_connection","third",76,"connection","control"
"7","rcburgqm","Rapport_established_rapport","third",55,"established","control"
"8","rcburgqm","Rapport_understanding","third",54,"understanding","control"
"9","rcburgqm","Rapport_connection","third",52,"connection","control"
"10","p1el4un1","Rapport_understanding","third",19,"understanding","control"
"11","p1el4un1","Rapport_established_rapport","third",30,"established","control"
"12","p1el4un1","Rapport_connection","third",30,"connection","control"
"13","7ca8udou","Rapport_established_rapport","third",50,"established","control"
"14","7ca8udou","Rapport_connection","third",50,"connection","control"
"15","7ca8udou","Rapport_understanding","third",50,"understanding","control"
"16","fbdvz2jm","Rapport_connection","third",57,"connection","control"
"17","fbdvz2jm","Rapport_understanding","third",55,"understanding","control"
"18","fbdvz2jm","Rapport_established_rapport","third",60,"established","control"
"19","lcoa0ulz","Rapport_connection","third",36,"connection","control"
"20","lcoa0ulz","Rapport_established_rapport","third",17,"established","control"
"21","lcoa0ulz","Rapport_understanding","third",11,"understanding","control"
"22","ucjf5it7","Rapport_established_rapport","second",58,"established","choice"
"23","ucjf5it7","Rapport_understanding","second",56,"understanding","choice"
"24","ucjf5it7","Rapport_connection","second",60,"connection","choice"
"25","u4ckj0xb","Rapport_connection","second",74,"connection","choice"
"26","u4ckj0xb","Rapport_understanding","second",81,"understanding","choice"
"27","u4ckj0xb","Rapport_established_rapport","second",74,"established","choice"
"28","rcburgqm","Rapport_understanding","second",58,"understanding","choice"
"29","rcburgqm","Rapport_connection","second",53,"connection","choice"
"30","rcburgqm","Rapport_established_rapport","second",53,"established","choice"
"31","7ca8udou","Rapport_established_rapport","second",50,"established","choice"
"32","7ca8udou","Rapport_understanding","second",50,"understanding","choice"
"33","7ca8udou","Rapport_connection","second",50,"connection","choice"
"34","fbdvz2jm","Rapport_connection","second",73,"connection","choice"
"35","fbdvz2jm","Rapport_understanding","second",70,"understanding","choice"
"36","fbdvz2jm","Rapport_established_rapport","second",71,"established","choice"
"37","lcoa0ulz","Rapport_understanding","second",100,"understanding","choice"
"38","lcoa0ulz","Rapport_established_rapport","second",72,"established","choice"
"39","lcoa0ulz","Rapport_connection","second",74,"connection","choice"
"40","ucjf5it7","Rapport_understanding","first",45,"understanding","motor"
"41","ucjf5it7","Rapport_established_rapport","first",39,"established","motor"
"42","ucjf5it7","Rapport_connection","first",46,"connection","motor"
"43","u4ckj0xb","Rapport_understanding","first",30,"understanding","motor"
"44","u4ckj0xb","Rapport_established_rapport","first",25,"established","motor"
"45","u4ckj0xb","Rapport_connection","first",30,"connection","motor"
"46","rcburgqm","Rapport_understanding","first",56,"understanding","motor"
"47","rcburgqm","Rapport_established_rapport","first",56,"established","motor"
"48","rcburgqm","Rapport_connection","first",51,"connection","motor"
"49","p1el4un1","Rapport_established_rapport","first",50,"established","motor"
"50","p1el4un1","Rapport_connection","first",30,"connection","motor"
"51","p1el4un1","Rapport_understanding","first",20,"understanding","motor"
"52","7ca8udou","Rapport_established_rapport","first",50,"established","motor"
"53","7ca8udou","Rapport_connection","first",50,"connection","motor"
"54","7ca8udou","Rapport_understanding","first",50,"understanding","motor"
"55","fbdvz2jm","Rapport_established_rapport","first",64,"established","motor"
"56","fbdvz2jm","Rapport_understanding","first",56,"understanding","motor"
"57","fbdvz2jm","Rapport_connection","first",62,"connection","motor"
"58","lcoa0ulz","Rapport_established_rapport","first",40,"established","motor"
"59","lcoa0ulz","Rapport_understanding","first",45,"understanding","motor"
"60","lcoa0ulz","Rapport_connection","first",34,"connection","motor"
"61","5zqcqbja","Rapport_understanding","third",50,"understanding","control"
"62","5zqcqbja","Rapport_established_rapport","third",50,"established","control"
"63","5zqcqbja","Rapport_connection","third",50,"connection","control"
"64","rjld64yp","Rapport_understanding","third",62,"understanding","control"
"65","rjld64yp","Rapport_connection","third",69,"connection","control"
"66","rjld64yp","Rapport_established_rapport","third",62,"established","control"
"67","fnw3740u","Rapport_connection","third",65,"connection","control"
"68","fnw3740u","Rapport_understanding","third",65,"understanding","control"
"69","fnw3740u","Rapport_established_rapport","third",60,"established","control"
"70","awnaa38f","Rapport_understanding","third",75,"understanding","control"
"71","awnaa38f","Rapport_established_rapport","third",76,"established","control"
"72","awnaa38f","Rapport_connection","third",77,"connection","control"
"73","x9hun3az","Rapport_connection","third",59,"connection","control"
"74","x9hun3az","Rapport_established_rapport","third",66,"established","control"
"75","x9hun3az","Rapport_understanding","third",60,"understanding","control"
"76","fhonwjzj","Rapport_connection","third",45,"connection","control"
"77","fhonwjzj","Rapport_understanding","third",45,"understanding","control"
"78","fhonwjzj","Rapport_established_rapport","third",55,"established","control"
"79","5zqcqbja","Rapport_understanding","second",50,"understanding","motor"
"80","5zqcqbja","Rapport_established_rapport","second",50,"established","motor"
"81","5zqcqbja","Rapport_connection","second",49,"connection","motor"
"82","rjld64yp","Rapport_connection","second",57,"connection","motor"
"83","rjld64yp","Rapport_established_rapport","second",54,"established","motor"
"84","rjld64yp","Rapport_understanding","second",53,"understanding","motor"
"85","fnw3740u","Rapport_established_rapport","second",55,"established","motor"
"86","fnw3740u","Rapport_connection","second",41,"connection","motor"
"87","fnw3740u","Rapport_understanding","second",40,"understanding","motor"
"88","awnaa38f","Rapport_connection","second",60,"connection","motor"
"89","awnaa38f","Rapport_established_rapport","second",58,"established","motor"
"90","awnaa38f","Rapport_understanding","second",40,"understanding","motor"
"91","x9hun3az","Rapport_established_rapport","second",53,"established","motor"
"92","x9hun3az","Rapport_connection","second",37,"connection","motor"
"93","x9hun3az","Rapport_understanding","second",34,"understanding","motor"
"94","fhonwjzj","Rapport_established_rapport","second",50,"established","motor"
"95","fhonwjzj","Rapport_understanding","second",50,"understanding","motor"
"96","fhonwjzj","Rapport_connection","second",65,"connection","motor"
"97","5zqcqbja","Rapport_established_rapport","first",49,"established","choice"
"98","5zqcqbja","Rapport_understanding","first",50,"understanding","choice"
"99","5zqcqbja","Rapport_connection","first",49,"connection","choice"
"100","rjld64yp","Rapport_understanding","first",61,"understanding","choice"
"101","rjld64yp","Rapport_established_rapport","first",66,"established","choice"
"102","rjld64yp","Rapport_connection","first",74,"connection","choice"
"103","fnw3740u","Rapport_understanding","first",60,"understanding","choice"
"104","fnw3740u","Rapport_established_rapport","first",60,"established","choice"
"105","fnw3740u","Rapport_connection","first",60,"connection","choice"
"106","awnaa38f","Rapport_established_rapport","first",77,"established","choice"
"107","awnaa38f","Rapport_understanding","first",83,"understanding","choice"
"108","awnaa38f","Rapport_connection","first",86,"connection","choice"
"109","x9hun3az","Rapport_established_rapport","first",69,"established","choice"
"110","x9hun3az","Rapport_connection","first",65,"connection","choice"
"111","x9hun3az","Rapport_understanding","first",57,"understanding","choice"
"112","fhonwjzj","Rapport_understanding","first",40,"understanding","choice"
"113","fhonwjzj","Rapport_established_rapport","first",30,"established","choice"
"114","fhonwjzj","Rapport_connection","first",25,"connection","choice"
"115","nqcfkk0t","Rapport_established_rapport","third",53,"established","control"
"116","nqcfkk0t","Rapport_understanding","third",63,"understanding","control"
"117","nqcfkk0t","Rapport_connection","third",60,"connection","control"
"118","7end2q7p","Rapport_connection","third",60,"connection","control"
"119","7end2q7p","Rapport_understanding","third",63,"understanding","control"
"120","7end2q7p","Rapport_established_rapport","third",66,"established","control"
"121","ekh4e8la","Rapport_connection","third",45,"connection","control"
"122","ekh4e8la","Rapport_established_rapport","third",30,"established","control"
"123","ekh4e8la","Rapport_understanding","third",25,"understanding","control"
"124","mqu3535e","Rapport_connection","third",40,"connection","control"
"125","mqu3535e","Rapport_established_rapport","third",40,"established","control"
"126","mqu3535e","Rapport_understanding","third",40,"understanding","control"
"127","trpxfsfj","Rapport_established_rapport","third",13,"established","control"
"128","trpxfsfj","Rapport_understanding","third",50,"understanding","control"
"129","trpxfsfj","Rapport_connection","third",27,"connection","control"
"130","64qj2z1q","Rapport_connection","third",76,"connection","control"
"131","64qj2z1q","Rapport_understanding","third",74,"understanding","control"
"132","64qj2z1q","Rapport_established_rapport","third",72,"established","control"
"133","vtnpc9v0","Rapport_understanding","third",65,"understanding","control"
"134","vtnpc9v0","Rapport_established_rapport","third",65,"established","control"
"135","vtnpc9v0","Rapport_connection","third",70,"connection","control"
"136","eo7g3bb9","Rapport_established_rapport","third",60,"established","control"
"137","eo7g3bb9","Rapport_connection","third",65,"connection","control"
"138","eo7g3bb9","Rapport_understanding","third",60,"understanding","control"
"139","eyf8awh6","Rapport_understanding","third",83,"understanding","control"
"140","eyf8awh6","Rapport_connection","third",88,"connection","control"
"141","eyf8awh6","Rapport_established_rapport","third",89,"established","control"
"142","8a4rmozk","Rapport_established_rapport","third",54,"established","control"
"143","8a4rmozk","Rapport_connection","third",50,"connection","control"
"144","8a4rmozk","Rapport_understanding","third",55,"understanding","control"
"145","ske1wdwv","Rapport_connection","third",95,"connection","control"
"146","ske1wdwv","Rapport_established_rapport","third",93,"established","control"
"147","ske1wdwv","Rapport_understanding","third",90,"understanding","control"
"148","wkig7g26","Rapport_connection","third",65,"connection","control"
"149","wkig7g26","Rapport_understanding","third",65,"understanding","control"
"150","wkig7g26","Rapport_established_rapport","third",60,"established","control"
"151","x886pg16","Rapport_understanding","third",65,"understanding","control"
"152","x886pg16","Rapport_established_rapport","third",68,"established","control"
"153","x886pg16","Rapport_connection","third",70,"connection","control"
"154","4swlxwke","Rapport_understanding","third",83,"understanding","control"
"155","4swlxwke","Rapport_established_rapport","third",42,"established","control"
"156","4swlxwke","Rapport_connection","third",73,"connection","control"
"157","8fjzf3vt","Rapport_established_rapport","third",57,"established","control"
"158","8fjzf3vt","Rapport_understanding","third",57,"understanding","control"
